,text,notes,date
https://www.axios.com/rnc-schedule-donald-trump-convention-dashboard-f3ea011c-4132-4142-934a-297c14352d58.html,RNC dashboard,,20200825-0000
https://www.axios.com/mike-pompeo-state-department-republican-convention-f4f42f26-77b2-43fc-be04-9d9c062d39a1.html,State Dept. memos warn employees against attending political party conventions,,20200825-0000
https://www.axios.com/rnc-night-one-lineup-53b9df4a-a28d-42de-b5b2-d78a99447d7d.html,Tonight's RNC sneak peek,,20200825-0000
https://www.axios.com/jacob-blake-kenosha-shooting-bb5261a2-18be-4e79-849d-10c640d69e28.html,Wisconsin on the brink after cop shoots Black man,,20200825-0000
https://www.axios.com/jerry-falwell-jr-resigns-liberty-0945c657-c882-4e4e-a7fc-dc9294dbd0fc.html,Jerry Falwell Jr. resigns as president of Liberty University,,20200825-0000
https://www.axios.com/dejoy-usps-mail-sorting-machines-ro-khanna-e4a848be-ce43-4fa2-8bc7-02500e07c184.html,DeJoy spars with Democrats over dismantled USPS mail-sorting machines,,20200825-0000
https://www.axios.com/trump-campaign-jason-miller-ae202d9f-08b9-4339-af96-b44a7a94f466.html,Trump adviser Jason Miller on a second-term economy,,20200825-0000
https://www.axios.com/coronavirus-latest-news-quick-highlights-57a186a3-7547-45bf-852a-83019849d8d5.html,Coronavirus dashboard,,20200825-0000
https://www.axios.com/new-york-attorney-trump-organization-investigation-261d4f83-7e45-40e9-a7e5-9e48a11a8183.html,New York AG sues Trump Organization in probe of financial dealings,,20200825-0000
https://www.axios.com/uae-f-35-arms-deal-israel-meeting-united-nations-896c572c-0488-4b4a-b3c6-61d0103a4556.html,Scoop: UAE cancels Israel meeting after Netanyahu opposes F-35 arms deal,,20200825-0000
https://www.axios.com/navalny-poisoned-russia-putin-opposition-leader-6ecfbf92-7889-472e-802b-c2ba32b07b3c.html,German doctors say tests suggest Putin critic Navalny was poisoned,,20200825-0000
https://www.axios.com/zoom-outage-e3faee6f-d6a6-4f1b-9a98-59131b6f6724.html,"Zoom outage halts classes, meetings",,20200825-0000
https://www.axios.com/tiktok-sues-trump-administration-over-ban-79d96153-461a-4859-b431-c6e6da1498fe.html,TikTok sues Trump administration over ban,,20200825-0000
https://www.axios.com/apple-app-store-big-tech-criticism-4177b252-eef7-4c1c-8987-aecb288c5482.html,Tech giants pile onto Apple amid App Store criticism,,20200825-0000
https://www.axios.com/coronavirus-reinfection-confirmed-hong-kong-57c5310d-9e1f-4dac-b22c-ec203b23bb76.html,First confirmed coronavirus reinfection reported in Hong Kong,,20200825-0000
https://www.axios.com/trump-campaign-second-term-agenda-46297a5a-50c3-42a5-bd7f-b91e7a84fe1c.html,Trump campaign releases second-term agenda,,20200825-0000
https://www.axios.com/where-is-high-school-football-being-played-1e081d5b-b58a-4d50-be64-a633d12adf71.html,Where high school football is being played around the U.S.,,20200825-0000
https://www.axios.com/digital-currency-coronavirus-china-4f807985-9646-4ec9-a656-9d6ca52cf79e.html,Coronavirus pandemic could trigger a digital currency race,,20200825-0000
https://www.axios.com/trump-economic-promises-e414863a-dddd-4bd9-837a-08f95a5876f3.html,Where Trump stands on economic promises,,20200825-0000
https://www.axios.com/trump-campaign-digital-ads-gop-convention-63a44dc4-19ff-4b72-bcb2-52d2a3955af5.html,Trump campaign launches massive digital ad buy for convention week,,20200825-0000
https://www.axios.com/who-gets-coronavirus-vaccine-first-4ff87ff8-39d7-49d6-8d25-fa2307119235.html,Americans want high-risk people to get a coronavirus vaccine first,,20200825-0000
https://www.axios.com/wisconsin-police-shooting-black-man-kenosha-curfew-ebc2e282-de55-4c62-b9e9-7a4648dad22c.html,Wisconsin authorities declare emergency curfew after police shoot Black man,,20200825-0000
https://www.axios.com/biden-trump-covid-crisis-blame-walking-away-4e721eca-5567-4a8a-b1a2-7cb35c5b516e.html,Biden: I don't blame Trump for COVID crisis but for walking away,,20200825-0000
https://www.axios.com/kellyanne-conway-leaving-white-house-99ebff6e-4d63-4ae8-9e67-2f0ac86549e8.html,Kellyanne Conway leaving White House to spend more time with family,,20200825-0000
https://www.axios.com/rnc-schedule-donald-trump-convention-dashboard-f3ea011c-4132-4142-934a-297c14352d58.html,RNC dashboard,,20200825-0030
https://www.axios.com/countries-buy-doses-coronavirus-vaccines-covax-772edf8b-f0df-49f9-a2c9-4274dcb22a89.html,Countries put their populations first in scramble for COVID vaccines,,20200825-0030
https://www.axios.com/mike-pompeo-state-department-republican-convention-f4f42f26-77b2-43fc-be04-9d9c062d39a1.html,State Dept. memos warn employees against attending political party conventions,,20200825-0030
https://www.axios.com/rnc-night-one-lineup-53b9df4a-a28d-42de-b5b2-d78a99447d7d.html,Tonight's RNC sneak peek,,20200825-0030
https://www.axios.com/jacob-blake-kenosha-shooting-bb5261a2-18be-4e79-849d-10c640d69e28.html,Wisconsin on the brink after cop shoots Black man,,20200825-0030
https://www.axios.com/jerry-falwell-jr-resigns-liberty-0945c657-c882-4e4e-a7fc-dc9294dbd0fc.html,Jerry Falwell Jr. resigns as president of Liberty University,,20200825-0030
https://www.axios.com/dejoy-usps-mail-sorting-machines-ro-khanna-e4a848be-ce43-4fa2-8bc7-02500e07c184.html,DeJoy spars with Democrats over dismantled USPS mail-sorting machines,,20200825-0030
https://www.axios.com/trump-campaign-jason-miller-ae202d9f-08b9-4339-af96-b44a7a94f466.html,Trump adviser Jason Miller on a second-term economy,,20200825-0030
https://www.axios.com/coronavirus-latest-news-quick-highlights-57a186a3-7547-45bf-852a-83019849d8d5.html,Coronavirus dashboard,,20200825-0030
https://www.axios.com/new-york-attorney-trump-organization-investigation-261d4f83-7e45-40e9-a7e5-9e48a11a8183.html,New York AG sues Trump Organization in probe of financial dealings,,20200825-0030
https://www.axios.com/uae-f-35-arms-deal-israel-meeting-united-nations-896c572c-0488-4b4a-b3c6-61d0103a4556.html,Scoop: UAE cancels Israel meeting after Netanyahu opposes F-35 arms deal,,20200825-0030
https://www.axios.com/navalny-poisoned-russia-putin-opposition-leader-6ecfbf92-7889-472e-802b-c2ba32b07b3c.html,German doctors say tests suggest Putin critic Navalny was poisoned,,20200825-0030
https://www.axios.com/zoom-outage-e3faee6f-d6a6-4f1b-9a98-59131b6f6724.html,"Zoom outage halts classes, meetings",,20200825-0030
https://www.axios.com/tiktok-sues-trump-administration-over-ban-79d96153-461a-4859-b431-c6e6da1498fe.html,TikTok sues Trump administration over ban,,20200825-0030
https://www.axios.com/apple-app-store-big-tech-criticism-4177b252-eef7-4c1c-8987-aecb288c5482.html,Tech giants pile onto Apple amid App Store criticism,,20200825-0030
https://www.axios.com/coronavirus-reinfection-confirmed-hong-kong-57c5310d-9e1f-4dac-b22c-ec203b23bb76.html,First confirmed coronavirus reinfection reported in Hong Kong,,20200825-0030
https://www.axios.com/trump-campaign-second-term-agenda-46297a5a-50c3-42a5-bd7f-b91e7a84fe1c.html,Trump campaign releases second-term agenda,,20200825-0030
https://www.axios.com/where-is-high-school-football-being-played-1e081d5b-b58a-4d50-be64-a633d12adf71.html,Where high school football is being played around the U.S.,,20200825-0030
https://www.axios.com/digital-currency-coronavirus-china-4f807985-9646-4ec9-a656-9d6ca52cf79e.html,Coronavirus pandemic could trigger a digital currency race,,20200825-0030
https://www.axios.com/trump-economic-promises-e414863a-dddd-4bd9-837a-08f95a5876f3.html,Where Trump stands on economic promises,,20200825-0030
https://www.axios.com/trump-campaign-digital-ads-gop-convention-63a44dc4-19ff-4b72-bcb2-52d2a3955af5.html,Trump campaign launches massive digital ad buy for convention week,,20200825-0030
https://www.axios.com/who-gets-coronavirus-vaccine-first-4ff87ff8-39d7-49d6-8d25-fa2307119235.html,Americans want high-risk people to get a coronavirus vaccine first,,20200825-0030
https://www.axios.com/wisconsin-police-shooting-black-man-kenosha-curfew-ebc2e282-de55-4c62-b9e9-7a4648dad22c.html,Wisconsin authorities declare emergency curfew after police shoot Black man,,20200825-0030
https://www.axios.com/biden-trump-covid-crisis-blame-walking-away-4e721eca-5567-4a8a-b1a2-7cb35c5b516e.html,Biden: I don't blame Trump for COVID crisis but for walking away,,20200825-0030
https://www.axios.com/kellyanne-conway-leaving-white-house-99ebff6e-4d63-4ae8-9e67-2f0ac86549e8.html,Kellyanne Conway leaving White House to spend more time with family,,20200825-0030
https://www.axios.com/rnc-schedule-donald-trump-convention-dashboard-f3ea011c-4132-4142-934a-297c14352d58.html,RNC dashboard,,20200825-0100
https://www.axios.com/countries-buy-doses-coronavirus-vaccines-covax-772edf8b-f0df-49f9-a2c9-4274dcb22a89.html,Countries put their populations first in scramble for COVID vaccines,,20200825-0100
https://www.axios.com/michael-cohen-trump-ad-c7295845-179c-4e6b-91fd-64ac105b1adb.html,"Michael Cohen says Trump ""can't be trusted"" in new ad",,20200825-0100
https://www.axios.com/mike-pompeo-state-department-republican-convention-f4f42f26-77b2-43fc-be04-9d9c062d39a1.html,State Dept. memos warn employees against attending political party conventions,,20200825-0100
https://www.axios.com/rnc-night-one-lineup-53b9df4a-a28d-42de-b5b2-d78a99447d7d.html,Tonight's RNC sneak peek,,20200825-0100
https://www.axios.com/jacob-blake-kenosha-shooting-bb5261a2-18be-4e79-849d-10c640d69e28.html,Wisconsin on the brink after cop shoots Black man,,20200825-0100
https://www.axios.com/jerry-falwell-jr-resigns-liberty-0945c657-c882-4e4e-a7fc-dc9294dbd0fc.html,Jerry Falwell Jr. resigns as president of Liberty University,,20200825-0100
https://www.axios.com/dejoy-usps-mail-sorting-machines-ro-khanna-e4a848be-ce43-4fa2-8bc7-02500e07c184.html,DeJoy spars with Democrats over dismantled USPS mail-sorting machines,,20200825-0100
https://www.axios.com/trump-campaign-jason-miller-ae202d9f-08b9-4339-af96-b44a7a94f466.html,Trump adviser Jason Miller on a second-term economy,,20200825-0100
https://www.axios.com/coronavirus-latest-news-quick-highlights-57a186a3-7547-45bf-852a-83019849d8d5.html,Coronavirus dashboard,,20200825-0100
https://www.axios.com/new-york-attorney-trump-organization-investigation-261d4f83-7e45-40e9-a7e5-9e48a11a8183.html,New York AG sues Trump Organization in probe of financial dealings,,20200825-0100
https://www.axios.com/uae-f-35-arms-deal-israel-meeting-united-nations-896c572c-0488-4b4a-b3c6-61d0103a4556.html,Scoop: UAE cancels Israel meeting after Netanyahu opposes F-35 arms deal,,20200825-0100
https://www.axios.com/navalny-poisoned-russia-putin-opposition-leader-6ecfbf92-7889-472e-802b-c2ba32b07b3c.html,German doctors say tests suggest Putin critic Navalny was poisoned,,20200825-0100
https://www.axios.com/zoom-outage-e3faee6f-d6a6-4f1b-9a98-59131b6f6724.html,"Zoom outage halts classes, meetings",,20200825-0100
https://www.axios.com/tiktok-sues-trump-administration-over-ban-79d96153-461a-4859-b431-c6e6da1498fe.html,TikTok sues Trump administration over ban,,20200825-0100
https://www.axios.com/apple-app-store-big-tech-criticism-4177b252-eef7-4c1c-8987-aecb288c5482.html,Tech giants pile onto Apple amid App Store criticism,,20200825-0100
https://www.axios.com/coronavirus-reinfection-confirmed-hong-kong-57c5310d-9e1f-4dac-b22c-ec203b23bb76.html,First confirmed coronavirus reinfection reported in Hong Kong,,20200825-0100
https://www.axios.com/trump-campaign-second-term-agenda-46297a5a-50c3-42a5-bd7f-b91e7a84fe1c.html,Trump campaign releases second-term agenda,,20200825-0100
https://www.axios.com/where-is-high-school-football-being-played-1e081d5b-b58a-4d50-be64-a633d12adf71.html,Where high school football is being played around the U.S.,,20200825-0100
https://www.axios.com/digital-currency-coronavirus-china-4f807985-9646-4ec9-a656-9d6ca52cf79e.html,Coronavirus pandemic could trigger a digital currency race,,20200825-0100
https://www.axios.com/trump-economic-promises-e414863a-dddd-4bd9-837a-08f95a5876f3.html,Where Trump stands on economic promises,,20200825-0100
https://www.axios.com/trump-campaign-digital-ads-gop-convention-63a44dc4-19ff-4b72-bcb2-52d2a3955af5.html,Trump campaign launches massive digital ad buy for convention week,,20200825-0100
https://www.axios.com/who-gets-coronavirus-vaccine-first-4ff87ff8-39d7-49d6-8d25-fa2307119235.html,Americans want high-risk people to get a coronavirus vaccine first,,20200825-0100
https://www.axios.com/wisconsin-police-shooting-black-man-kenosha-curfew-ebc2e282-de55-4c62-b9e9-7a4648dad22c.html,Wisconsin authorities declare emergency curfew after police shoot Black man,,20200825-0100
https://www.axios.com/biden-trump-covid-crisis-blame-walking-away-4e721eca-5567-4a8a-b1a2-7cb35c5b516e.html,Biden: I don't blame Trump for COVID crisis but for walking away,,20200825-0100
https://www.axios.com/kellyanne-conway-leaving-white-house-99ebff6e-4d63-4ae8-9e67-2f0ac86549e8.html,Kellyanne Conway leaving White House to spend more time with family,,20200825-0100
