,text,notes,date
https://www.buzzfeednews.com,BuzzFeed NewsReporting on what you care about. We hold major institutions accountable and expose wrongdoing.,,20201113-0000
https://www.tasty.co,"BuzzFeed TastySearch, watch, and cook every single Tasty recipe and video ever - all in one place!",,20201113-0000
https://www.buzzfeed.com/goodful,"BuzzFeed GoodfulSelf care and ideas to help you live a healthier, happier life.",,20201113-0000
https://www.buzzfeed.com/bringme,"BuzzFeed Bring MeObsessed with travel? Discover unique things to do, places to eat, and sights to see in the best destinations around the world with Bring Me!",,20201113-0000
https://www.buzzfeed.com/asis,"BuzzFeed As IsSomething for everyone interested in hair, makeup, style, and body positivity.",,20201113-0000
https://www.buzzfeed.com/ehisosifo1/kevin-mchale-twitter-thread-gay-things-glee?ref=hpsplash&origin=spl,"There’s A Funny Twitter Thread About “Things That Feel Gay But Aren’t,” And Artie From “Glee” Had The Best Response",,20201113-0000
https://www.buzzfeed.com/elizabethlilly/products-under-15-dollars?origin=hpp,47 Products Under $15 You'll Probably Wish You'd Owned All Along,,20201113-0000
https://www.buzzfeed.com/newsletters?ref=hplego,"WTF Is Happening Today? BuzzFeed Newsletters Can Help!
We have newsletters to help you stay in the loop AND newsletters to help you forget! Try one today!",,20201113-0000
https://www.buzzfeed.com/ehisosifo1/behind-the-scenes-facts-horror-movies?origin=web-hf,19 Behind-The-Scenes Facts About Iconic Horror Movies That'll Send A Shiver Down Your Spine,,20201113-0000
https://www.buzzfeed.com/sam_cleal/actors-who-always-play-the-same-character?origin=web-hf,22 Actors Who've Made A Career Off Of Playing The Same Person Over And Over,,20201113-0000
https://www.buzzfeed.com/andriamoore/lil-nas-x-best-tweets-that-prove-hes-the-king-of-twitter?origin=web-hf,Just 21 Lil Nas X Tweets That Prove He's A Comedic Genius On Twitter,,20201113-0000
https://www.buzzfeednews.com/article/paulmcleod/democrat-senators-trump-election-tantrum?origin=web-hf,"Democratic Senators See Trump’s Fight To Overturn The Election As A Tantrum, Not A Viable Threat",,20201113-0000
https://www.buzzfeed.com/giftguide?origin=hshp,See all of our gifting recommendations,,20201113-0000
https://www.buzzfeed.com/nataliebrown/best-gifts-under-10-dollars?origin=hshp,"The Best Gifts Under $10 To Give In 2020
A bunch of fun and affordable ideas, whether they’re into makeup, board games, their dog, self-care, wine, problem-solving, or something else entirely.",,20201113-0000
https://www.buzzfeed.com/elenamgarcia/gifts-you-dont-have-to-worry-about-them-getting-edit-2020?origin=hshp,Gifts You Don't Have To Worry About Them Getting From Someone Else,,20201113-0000
https://www.buzzfeed.com/elenamgarcia/gifts-that-literally-everyone-will-want-edit-2020?origin=hshp,Gifts That Basically Everyone Will Want,,20201113-0000
https://www.buzzfeed.com/elizabethlilly/useful-stocking-stuffers-theyll-appreciate-2020?origin=hshp,58 Useful Stocking Stuffers They're Sure To Really Appreciate,,20201113-0000
https://www.buzzfeed.com/elizabethlilly/gifts-that-are-beautiful-and-useful?origin=hshp,48 Gifts That Are As Beautiful As They Are Useful,,20201113-0000
https://www.buzzfeed.com/kristatorres/sexist-things-said-to-women-tiktok?origin=web-hf,Women Are Sharing The Mind-Numbingly Sexist Things Men Have Said To Them,,20201113-0000
https://www.buzzfeed.com/marietelling/weird-american-quirks-habits?origin=web-hf,I'm French But Lived In The US For Almost A Decade; These Are The Weird American Quirks I Still Think About,,20201113-0000
/watch/video/116787,"Women Of Color React To Kamala Harris' VP Election
Girls and women of color share what it means to finally see themselves in the VP-elect Kamala Harris.",,20201113-0000
https://www.buzzfeednews.com/article/ryanmac/mark-zuckerberg-declares-biden-preisdent-elect-trump?origin=web-hf,"As Election Misinformation Spreads On Facebook, Mark Zuckerberg Told Employees That Biden Won",,20201113-0000
https://www.buzzfeed.com/hanifahrahman/who-voiced-these-characters-?origin=web-hf,Do You Know The Famous Voices Behind These Classic Characters?,,20201113-0000
https://www.buzzfeednews.com/article/scaachikoul/mel-gibson-fatman-review?origin=web-hf,I Sat Through Mel Gibson’s “Fatman” So You Wouldn't Have To,,20201113-0000
https://www.buzzfeednews.com/article/tanyachen/chicago-coronavirus-lockdown-thanksgiving-mayor?origin=web-hf,Chicago's Mayor Wants People To Cancel Thanksgiving And Stop Having People Over — Including Family,,20201113-0000
https://www.buzzfeednews.com/article/ikrd/tiktok-review-burger-fries-pandagirl94?origin=web-hf,Meet The Woman Who Went Instantly Viral On TikTok For Reviewing A Burger And Fries,,20201113-0000
https://www.buzzfeed.com/paytonsquizzes/eat-a-lot-of-cheesy-food-and-well-reveal-your-big-1y1ejj4yhl?origin=web-hf,Eat At This Cheesy Food Buffet And We'll Reveal Your Inner Dog Breed,,20201113-0000
https://www.buzzfeed.com/kebornholtz/lets-wfh-together-with-our-quarantine-today-new-5xqeak1tzg,"Let's WFH Together With Our ""Quarantine Today"" Newsletter",,20201113-0000
