,text,notes,date
/news/ct-chicago-violence-munchie-malden-20200801-dxeq2tzqorabhnhltbgddzvw3u-story.html,"A July afternoon in the Manor, where friendships as close as family grow. Then, gunshots, a phone call and ‘Munchie, Munchie, hold on’",,20200802-0000
/coronavirus/ct-covid-19-pandemic-chicago-illinois-news-20200801-gi5gzhkn6jgcbodxpmke5db264-story.html,"Coronavirus in Illinois updates: 1,639 new known COVID-19 cases and 8 more deaths reported a day after 11 counties put on ‘warning level’ for resurgence",,20200802-0000
/news/breaking/ct-janari-ricks-chicago-violence-20200801-cl5i64zwczcebnllkjxamuxawi-story.html,"Gunned down while playing outside, Janari Ricks, 9, was ‘an honor roll child’",,20200802-0000
/coronavirus/ct-nw-nyt-covid-19-midwest-20200801-xwtytflzvvfcfjlfjhtzkgp2qe-story.html,"After plummeting, COVID-19 is again picking up dangerous speed in much of the Midwest",,20200802-0000
/sports/ct-spt-meyers-leonard-national-anthem-20200801-kcm3qyyauvb67lka2kavmypwcy-story.html,"Meyers Leonard, ex-U. of I. big man, explains why he stood for national anthem — and teammates explain why they embraced him",,20200802-0000
/sports/cubs/ct-chicago-cubs-craig-kimbrel-20200801-3dhz355zhbhp5lkhl5hg5pnebu-story.html,Craig Kimbrel’s status as Cubs closer is uncertain after his rough start: ‘We need him to be good if we’re going to have a lot of success’,,20200802-0000
/coronavirus/sns-schools-reopening-how-to-keep-kids-healthy-during-coronavirus-20200731-hjsknwc6y5e3bfje2ocelgkdk4-photogallery.html,"How to better protect the health of kids returning to schools, according to a doctor",,20200802-0000
/lifestyles/ct-life-coronavirus-mothers-daughters-closer-covid-20200801-zaveggwksbbn7ba5kxxar4ehem-story.html,"Moms and daughters growing closer during coronavirus pandemic, survey finds: ‘I could see her, really, really see her.’",,20200802-0000
/entertainment/lollapalooza/ct-lollapalooza-2020-watch-livestream-20200730-pnaad5yokjhabffbnpmf6ziqzq-htmlstory.html,"Lollapalooza 2020: Watch the third night of the virtual event featuring Jane’s Addiction, Vic Mensa, OutKast",,20200802-0000
/featured/sns-liststory-this-day-in-history-almanac-august-20200731-6nyfu34njbe6lnm5bxveag2m3e-list.html,"This day in history: MTV debuts on Aug. 1, 1981. Here's how the Tribune reported it.",,20200802-0000
/real-estate/elite-street/ct-re-elite-street-ken-nordine-edgewater-historic-20200731-s4jflbr3b5dahcy5hogei4vc3m-story.html,"Edgewater home of late jazz poet Ken Nordine, once in danger of demolition, sells for $1.37 million",,20200802-0000
