,text,notes,date
https://www.cnbc.com/2020/08/25/palantir-files-s-1-before-going-public.html,"Palantir files to go public, lost about $580 million last year",,20200826-0000
https://www.cnbc.com/2020/08/25/palantir-ceo-rips-silicon-valley-in-letter-to-investors.html,Palantir CEO rips Silicon Valley in letter to investors,,20200826-0000
https://www.cnbc.com/2020/08/05/tech-ipos-brush-aside-2020-election-concerns-coronavirus.html,Tech IPOs brush aside election concerns as investors seek growth,,20200826-0000
https://www.cnbc.com/2020/08/25/rnc-tonight-what-to-watch.html,What to watch for on Day 2 of the Republican National Convention,,20200826-0000
https://www.cnbc.com/2020/08/25/salesforce-crm-earnings-q2-2021.html,Salesforce soars on big earnings beat,,20200826-0000
https://www.cnbc.com/2020/08/25/etsy-amazon-trying-to-squash-competitors-by-backing-california-bill.html,Etsy CEO says Amazon is trying to squash competitors by backing California bill,,20200826-0000
https://www.cnbc.com/2020/08/26/asia-markets-wall-street-ant-group-listing-currencies-in-focus.html,Asia markets set to trade mixed; Ant Group files for Hong Kong-Shanghai listing,,20200826-0000
https://www.cnbc.com/2020/08/25/cramer-lightning-round-you-should-buy-ge.html,Cramer's lightning round: You should buy GE,,20200826-0000
https://www.cnbc.com/2020/08/25/inflation-will-become-a-serious-headwind-on-a-vaccine-peter-boockvar.html,"With or without Fed's involvement, Peter Boockvar warns inflation is making a comeback",,20200826-0000
https://www.cnbc.com/2020/08/25/homebuyers-may-have-more-freedom-now-than-ever-before-says-coldwell-banker-ceo.html,"Homebuyers may have more freedom now than ever before, says Coldwell Banker CEO",,20200826-0000
https://www.cnbc.com/2020/08/25/stock-market-futures-open-to-close-news.html,Stock futures flat after S&P notches another record,,20200826-0000
https://www.cnbc.com/2020/08/25/tiktok-reveals-staggering-user-growth-in-new-lawsuit-against-the-us-government.html,TikTok reveals staggering user growth in new lawsuit against the U.S. government,,20200826-0000
https://www.cnbc.com/2020/08/25/rnc-2020-pompeo-under-fire-for-making-speech-from-diplomatic-trip-to-israel.html,Pompeo under fire for making speech at the RNC while on a diplomatic trip,,20200826-0000
https://www.cnbc.com/2020/08/25/coronavirus-texas-evacuates-residents-for-hurricane-laura-as-pandemic-poses-new-challenges.html,Texas evacuates residents for Hurricane Laura as coronavirus poses new challenges,,20200826-0000
https://www.cnbc.com/2020/08/25/stocks-making-the-biggest-moves-after-hours-salesforce-nordstorm-hp-enterprise-and-more.html,"Stocks making the biggest moves after hours: Salesforce, Nordstorm, HP Enterprise and more",,20200826-0000
https://www.cnbc.com/2020/08/25/nordstrom-jwn-reports-q2-2020-results.html,Nordstrom's sales fall 53% as department store chain suffers store closures amid pandemic,,20200826-0000
https://www.cnbc.com/2020/08/25/what-happened-to-the-stock-market-on-tuesday-dow-falls-as-apple-snaps-winning-streak.html,Here's what happened to the stock market on Tuesday,,20200826-0000
https://www.cnbc.com/2020/08/25/the-dow-makes-its-biggest-swap-in-years-what-to-make-of-the-move.html,The Dow makes its biggest swap in years. What to make of the move,,20200826-0000
https://www.cnbc.com/2020/08/25/gm-uses-salaried-workers-to-fill-assembly-jobs-due-to-coronavirus.html,GM uses salaried employees to keep Missouri plant open as workers call out sick due to coronavirus,,20200826-0000
https://www.cnbc.com/2020/08/25/spirit-airlines-pilots-reach-agreement-to-avoid-600-furloughs.html,"Spirit Airlines, pilots reach agreement to avoid 600 furloughs",,20200826-0000
https://www.cnbc.com/2020/08/25/iphone-sales-steady-while-global-smartphone-sales-tank-20percent-in-q2.html,Apple's iPhone sales steady while global smartphone sales tank 20% in Q2,,20200826-0000
https://www.cnbc.com/2020/08/25/coronavirus-why-movie-reviews-may-be-hard-to-find.html,"U.S. critics are struggling to see and review 'The New Mutants,' 'Tenet'",,20200826-0000
https://www.cnbc.com/2020/08/25/coronavirus-cuomo-clears-new-york-fashion-week-this-fall-but-the-runways-will-be-outside-or-without-an-audience.html,"Cuomo clears NY Fashion Week, but runways will be outside or without an audience",,20200826-0000
https://www.cnbc.com/2020/08/25/google-names-halimah-delaine-prado-as-chief-counsel-as-antitrust-looms.html,Google names Halimah DeLaine Prado new general counsel as antitrust cases loom,,20200826-0000
https://www.cnbc.com/2020/08/25/arizona-first-to-receive-300-boosted-unemployment-but-problems-persist.html,"New $300 boosted unemployment arrives in Arizona, but not without headaches and confusion",,20200826-0000
https://www.cnbc.com/2020/08/25/can-you-be-evicted-during-the-pandemic-it-depends-on-your-zip-code.html,Can you be evicted during the pandemic? It depends on your ZIP code,,20200826-0000
https://www.cnbc.com/2020/08/25/value-investing-will-work-if-you-can-weed-out-the-value-traps-bank-of-america-says.html,"Value investing will work if you can weed out the 'value traps,' Bank of America says",,20200826-0000
https://www.cnbc.com/2020/08/25/ex-nfl-star-herschel-walker-on-what-donald-trump-taught-him.html,Ex-NFL star Herschel Walker on what Donald Trump taught him during their 37-year friendship,,20200826-0000
https://www.cnbc.com/2020/08/25/coronavirus-us-box-office-recovery-wont-be-as-swift-as-chinas.html,Here's why the U.S. box-office recovery won't be as swift as China's,,20200826-0000
https://www.cnbc.com/2020/08/25/how-payroll-tax-cuts-could-deplete-social-security-as-soon-as-2023.html,A permanent payroll tax cut could deplete Social Security as soon as 2023,,20200826-0000
https://www.cnbc.com/2020/08/25/ex-google-ceo-eric-schmidt-on-rapid-coronavirus-tests-return-to-work.html,Ex-Google CEO Eric Schmidt says rapid coronavirus tests are needed to get America back to the office,,20200826-0000
https://www.cnbc.com/2020/08/25/coronavirus-live-updates.html,Coronavirus updates: 30 states approved for extra unemployment money; American Airlines plans major cuts,,20200826-0000
https://www.cnbc.com/2020/08/25/new-cases-of-the-coronavirus-are-falling-in-most-of-the-us.html,"New cases of the coronavirus are falling in most of the U.S., but epidemiologists urge caution",,20200826-0000
https://www.cnbc.com/2020/08/25/rnc-schedule-speakers-tonight.html,Here's the speaker lineup for the second night of the Republican National Convention,,20200826-0000
https://www.cnbc.com/2020/08/24/stock-market-futures-open-to-close-news.html,"S&P 500 rises to another record, even as rally leader Apple snaps 5-day winning streak",,20200826-0000
https://www.cnbc.com/2020/08/25/israel-pushes-back-on-potential-american-arms-sales-after-historic-uae-accord.html,Israel pushes back on potential American arms sales after historic UAE accord,,20200826-0000
https://www.cnbc.com/select/how-freezing-your-credit-can-keep-you-protected/,Why now may be the best time to freeze your credit,,20200826-0000
https://www.cnbc.com/2020/08/25/jpmorgan-will-have-staff-cycle-between-office-and-remote-work-in-a-move-that-may-remake-wall-street.html,JPMorgan will have staff cycle between office and remote work in a move that may remake Wall Street,,20200826-0000
https://www.cnbc.com/2020/08/24/massive-northern-california-wildfires-rage-on-1-man-dead.html,Crews keep working to pen in huge California wildfires,,20200826-0000
https://www.cnbc.com/2020/08/25/coronavirus-college-students-head-home-a-week-into-classes-as-campus-cases-rise.html,College students head back home a week into classes as coronavirus cases on campus climb,,20200826-0000
https://www.cnbc.com/noah-higgins-dunn/,Noah Higgins-Dunn,,20200826-0000
https://www.cnbc.com/video/2020/08/25/tiktok-reveals-staggering-user-growth-in-new-lawsuit-against-the-us.html,VIDEO11:48,,20200826-0000
//www.cnbc.com/us-market-movers/,Markets,,20200826-0000
https://www.cnbc.com/2020/08/25/stocks-making-the-biggest-moves-midday-gap-medtronic-apple-starbucks-chipotle.html,"Stocks making the biggest moves midday: Gap, Medtronic, Apple, Starbucks, Chipotle and more",,20200826-0000
https://www.cnbc.com/2020/08/25/stock-market-live-updates-dow-futures-up-175-big-index-shake-up-covid-infections.html,"Stock market live Tuesday: S&P 500 hits another record, Apple drags down Dow, oil jumps to 5-month...",,20200826-0000
https://www.cnbc.com/2020/08/24/majority-of-states-approved-for-extra-300-dollars-in-unemployment-insurance.html,More than half of states are now approved for the extra $300 per week in unemployment insurance,,20200826-0000
https://www.cnbc.com/select/,CNBC Select,,20200826-0000
https://www.cnbc.com/select/best-credit-cards-for-grocery-shopping/,"Americans spend over $5,000 a year on groceries—save hundreds at supermarkets with these cards",,20200826-0000
https://www.cnbc.com/select/experian-boost-allows-netflix-payments-for-credit-score-increase/,Experian Boost now lets you add on-time Netflix payments to raise your credit score,,20200826-0000
https://www.cnbc.com/select/refinance-mortgage-bad-credit/,"3 tips for refinancing your mortgage, even with a bad credit score",,20200826-0000
https://www.cnbc.com/select/can-you-have-too-much-in-savings/,"Yes, it's possible to have to save too much money—here's how much is too much",,20200826-0000
https://www.cnbc.com/select/credit-card-forbearance-impact-on-credit/,How putting your credit card into forbearance can affect your credit score,,20200826-0000
https://www.cnbc.com/select/people-dont-save-enough-money-emergencies-retirement/,"We talked to 2 financial planners, and they agree people don't save enough in these 2 categories",,20200826-0000
https://www.cnbc.com/select/card-issuers-canceled-flights/,Worried about canceled flights? How to avoid losing money if you have a trip coming up,,20200826-0000
https://www.cnbc.com/investing/,Investing,,20200826-0000
https://www.cnbc.com/2020/08/25/laszlo-birinyi-who-first-bought-apple-in-1997-says-the-stock-is-still-a-buy-and-so-is-the-market.html,"Laszlo Birinyi, who first bought Apple in 1997, says the stock is still a buy and so is the market",,20200826-0000
https://www.cnbc.com/2020/08/25/citi-upgrades-gap-says-stock-could-jump-50percent-once-wall-street-fairly-values-athleta.html,"Citi upgrades Gap, says stock could jump 50% once Wall Street fairly values Athleta",,20200826-0000
https://www.cnbc.com/2020/08/25/jeremy-siegel.html,"Jeremy Siegel says committee picking Dow stocks has done 'darn good job,' beating the S&P long term",,20200826-0000
https://www.cnbc.com/2020/08/25/citigroup-raises-sp-500-outlook-says-the-fed-will-do-whatever-it-takes.html,"Citi raises S&P 500 outlook, says the Fed will do 'whatever it takes' to halt a big stock decline",,20200826-0000
https://www.cnbc.com/2020/08/25/bill-gates-leads-kymetas-85-million-fundraising-for-satellite-antennas.html,Bill Gates leads $85 million fundraising for satellite antenna specialist Kymeta to scale production,,20200826-0000
https://www.cnbc.com/2020/08/25/jeremy-siegel-coronavirus-spike-in-the-fall-wont-derail-stock-rally.html,"Even another coronavirus spike in the fall won't derail Wall Street's rally, says Jeremy Siegel",,20200826-0000
https://www.cnbc.com/2020/08/25/tuesdays-analyst-calls-apple-facebook-chipotle-starbucks-gap.html,"Here are Tuesday's biggest analyst calls of the day: Apple, Facebook, Chipotle, Starbucks & more",,20200826-0000
https://www.cnbc.com/business/,Business News,,20200826-0000
https://www.cnbc.com/2020/08/25/coronavirus-restaurant-bankruptcies-to-balloon-pressuring-landlords.html,More pain ahead for landlords as restaurant bankruptcies poised to balloon in coming months,,20200826-0000
