,text,notes,date
/world/live-news/coronavirus-pandemic-09-22-20-intl/index.html,Trending: Covid-19 ,,20200923-0000
/2020/09/22/politics/amy-coney-barrett-trump-supreme-court/index.html,Supreme Court ,,20200923-0000
/2020/09/22/tech/xbox-series-x-preorders-trnd/index.html,Xbox Series X ,,20200923-0000
/2020/09/22/world/un-general-assembly-trump-bolsonaro-intl/index.html,United Nations,,20200923-0000
/2020/09/22/entertainment/enola-holmes-review/index.html,Millie Bobby Brown stars as Sherlock's brilliant sister,,20200923-0000
/2020/09/22/us/kobe-bryant-widow-lawsuit-los-angeles-sheriff/index.html,Kobe Bryant's widow sues LA County sheriff and the department for crash photo leak,,20200923-0000
/2020/09/22/politics/debate-topics/index.html,"First Trump-Biden debate to focus on SCOTUS, Covid-19 and race",,20200923-0000
/2020/09/22/weather/paulette-zombie-tropical-storm-trnd/index.html,'Zombie' Tropical Storm Paulette returns from the dead because it's 2020,,20200923-0000
/2020/09/22/us/colleges-universities-reopen-covid-trnd/index.html,Colleges knew the risks and tried putting Covid-19 safety precautions in place. But those measures weren't enough.,h2,20200923-0000
/videos/politics/2020/09/22/white-house-briefing-jim-acosta-kayleigh-mcenany-coronavirus-vpx.cnn,Acosta confronts McEnany: Shouldn't President tell the truth?,,20200923-0000
/2020/09/22/us/massachusetts-party-covid-trnd/index.html,Parents and child charged over party that forced Massachusetts high school to delay in-person learning,,20200923-0000
/videos/health/2020/09/22/bill-gates-china-coronavirus-covid-dr-paul-sax-nr-vpx.cnn,Bill Gates says he thinks Trump's travel ban made outbreak in US worse. Here's why,,20200923-0000
/2020/09/22/opinions/trump-views-200000-covid-19-deaths-as-a-pr-problem-obeidallah/index.html,Trump views Covid-19 deaths as a PR problem,,20200923-0000
https://www.cnn.com/world/live-news/coronavirus-pandemic-09-22-20-intl/h_24c535e9b3f256606c08adc1cc89e659,"live updates Dr. Sanjay Gupta on 200,000 deaths: 'I really thought we would rise more to this challenge'",,20200923-0000
/2020/09/22/politics/donald-trump-ohio-jon-husted-mask/index.html,Analysis: Here's how dumb the mask-wearing debate is,,20200923-0000
/2020/09/22/politics/trump-covid-19-statement-fact-check/index.html,Fact-checking Trump's continued efforts to downplay the risks of Covid-19,,20200923-0000
https://www.cnn.com/2020/09/22/us/covid-19-survivors-say-virus-not-a-hoax/index.html,"As the US surpasses 200,000 Covid-19 deaths, survivors have a message: This is not a hoax",,20200923-0000
