,text,notes,date
/2020/12/04/republican-strategists-trump-georgia-runoffs-loeffler-perdue/,'Must Turn Out',,20201205-0000
/2020/12/04/trump-somalia-troop-withdrawal/,President Trump Orders Troop Withdrawal From Somalia,,20201205-0000
/2020/12/04/cnbc-squawk-box-fight-rick-santelli-andrew-sorkin-coronavirus-lockdowns/,CNBC's 'Squawk Box' Devolves Into Massive Fight,,20201205-0000
/2020/12/04/new-president-vaccine-pelosi-approve-covid-relief-bill-biden-coronavirus/,'A New President And A Vaccine': Pelosi Explains Why She Will Approve COVID-19 Relief Bill After Continued Delays,,20201205-0000
/2020/12/04/pornhub-rape-videos-new-york-times/,"Senators Demand Investigation Into Pornhub, Mindgeek 'Scumbags'",,20201205-0000
/2020/12/04/mainstream-media-helped-biden-win-censor-negative-joe-biden-news-coverage/,Did The Media Steal The Election For Biden? Here’s The Evidence,,20201205-0000
/2020/12/04/chinese-company-developing-coronavirus-vaccine-bribed-regulators-vaccine-approvals/,Chinese Company Developing Coronavirus Vaccine Previously Bribed Regulators For Other Vaccine Approvals,,20201205-0000
/2020/12/04/john-durham-kevin-clinesmith-prison-carter-page/,Durham Seeks Jail Time For Ex-FBI Lawyer Who Altered CIA Email About Carter Page,,20201205-0000
/2020/12/04/troxclair-austin-mayors-cabo-vacation-sets-new-low-for-leaders-covid-hypocrisy/,TROXCLAIR: Austin Mayor's Cabo Vacation Sets New Low For Leaders' COVID Hypocrisy,,20201205-0000
/2020/12/04/john-durham-biden-yates-grassley-cornyn/,'Non-Negotiable': GOP Senators Say Biden's Pick For Attorney General Must Preserve Durham Probe,,20201205-0000
/2020/12/04/senate-confirms-trumps-fed-nominees-anothers-confirmation-increasingly-unlikely/,Senate Confirms One Of Trump's Fed Nominees As Another's Confirmation Becomes Increasingly Unlikely,,20201205-0000
/2020/12/04/kelly-loeffler-staffer-harrison-deal-killed-car-crash-georgia/,College-Aged Staffer For Sen. Loeffler Dies,,20201205-0000
/2020/12/04/congressman-secret-republicans-cuomo-gala-matt-gaetz/,"'Come And Get Me': Congressman Attends Secret Young Republicans' Gala, Taunts Cuomo",,20201205-0000
/2020/12/04/state-department-mike-pompeo-sanctions-visa-chinese-communist-party-intimidation/,State Department Sanctions Chinese Communist Party Officials Using 'Intimidation Tactics' To Silence Opponents,,20201205-0000
/2020/12/04/joe-biden-alejandro-mayorkas-immigration/,Biden's DHS Pick Gives Few Details On Potential Immigration Reforms,,20201205-0000
/2020/12/04/muslim-man-owais-ahmed-arrested-india-anti-interfaith-love-jihad-law/,'Love Jihad': Muslim Man Thrown In Jail For Trying To Convert Hindu Love Interest,,20201205-0000
/2020/12/04/house-republicans-gop-elections-2022-nancy-pelosi/,Here's How House Republicans Might Give Nancy Pelosi The Boot In 2022,,20201205-0000
/2020/12/04/saturn-jupiter-space-middle-ages-double-planet-sky/,Two Planets In Our Solar System Are About To Do Something They Haven't Done Since The Middle Ages,,20201205-0000
/2020/12/04/russian-youtube-star-stas-reeflay-arrested-girlfriend-dies-hypothermia-livestream/,Youtuber Reportedly Arrested After Girlfriend Dies During Livestream,,20201205-0000
/2020/12/04/joe-biden-transition-foreign-policy-tony-blinken-jake-sullivan-john-kerry/,Here’s What You Need To Know About Biden’s Foreign Policy Team,,20201205-0000
/2020/12/03/progressives-squad-bernie-sanders-joe-biden-election-white-house-congress/,Progressives Were The Biggest Losers This Election,,20201205-0000
/2020/12/04/matthew-mcconaughey-far-left-condescending-patronizing-arrogant-russell-brand-interview/,OPINION,,20201205-0000
/2020/12/04/sadie-roberton-deepen-faith-learning-through-daughters-wonder/,Duck Dynasty Star Says She's Excited To 'Deepen Her Faith' After Life-Changing Event,,20201205-0000
/2020/12/04/pro-biden-group-gave-gift-cards-jewelry-exchange-votes-nevada/,"REPORT: Pro-Biden Operatives Gave Native Americans Gift Cards, Jewelry In Exchange For Votes In Nevada",,20201205-0000
/2020/12/04/righting-wrongs-school-board-votes-changing-names-two-schools-named-former-presidents/,School Board Changes Names Of Schools Over Namesakes' 'Racist' Legacies,,20201205-0000
/2020/12/04/town-will-hold-annual-christmas-parade-in-defiance-of-covid-19-lockdown-orders/,Town Will Hold Annual Christmas Parade In Defiance Of COVID-19 Lockdown Orders,,20201205-0000
/2020/12/04/house-passes-more-act-legalize-marijuana-kamala-harris/,House Passes Act To Legalize Marijuana,,20201205-0000
/2020/12/04/democracy-china-hong-kong-joe-biden-donald-trump-xi-jinping/,'Like Having Xi Jinping Sitting In The White House': Why Asian Pro-Democracy Activists Are Worried About Biden,,20201205-0000
/2020/12/03/neil-patel-americans-dont-believe-anything/,"PATEL: Why Americans Don’t Believe Anything — Example 10,423",,20201205-0000
/2020/12/04/georgia-brian-kemp-secretary-state-signature-audit-brad-raffensperger/,Georgia Governor Says Secretary Of State Has Not Ordered Signature Audit,,20201205-0000
/2020/12/03/nike-coca-cola-corporations-fighting-slave-labor-uyghur-muslims-china-africa/,REPORT: Several Major Corporations Are Fighting To Use Slave Labor,,20201205-0000
/2020/12/03/senate-trump-russia-grassley-ron-johnson/,Senate Committees Release A Treasure Trove Of Trump-Russia Documents,,20201205-0000
/2020/12/03/china-human-testing-enhanced-soldiers-john-ratcliffe-wall-street-journal/,"China Is Using Human Testing To Develop ‘Biologically Enhanced’ Soldiers, Top Intelligence Official Says",,20201205-0000
/2020/12/03/congress-old-addiction-earmarks-jim-demint/,DEMINT: Congress Threatens Relapse Into An Old Addiction,,20201205-0000
/2020/12/03/james-comey-dossier-brookings-benjamin-wittes/,"Official At Liberal Think Tank Offered To Give Comey The Steele Dossier Before It Was Published, Emails Show",,20201205-0000
/2020/12/03/georgia-special-elections-hispanic-latino-vote-elections-2020-loeffler-perdue-warnock-ossoff/,How The Hispanic Vote Could Swing The Georgia Runoffs,,20201205-0000
/2020/12/03/ann-coulter-daily-caller-patriots-corporate-cable-news-media/,PATRIOTS ONLY: Political Commentator Ann Coulter Has A Message For You,,20201205-0000
/2020/12/03/coronavirus-lockdowns-economy-unemployment-college-graduates/,The Coronavirus Lockdowns Have Devastated This Group,,20201205-0000
/2020/12/02/middle-east-christian-persecution-biden-administration-trump-immigration-aid/,"Future Of Middle East Christians Looks Bleak, Experts Say — Will A Biden Administration Take Steps To Protect Them?",,20201205-0000
/2020/12/04/school-choice-corey-deangelis-reason-foundation-interview-reopen-schools-kids-coronavirus-covid-19/,'Reopen The Schools!': School Choice Advocate Argues Why Kids Should Be Learning In Person,,20201205-0000
/2020/12/04/los-angeles-california-lockdowns-restrictions-restaurants-coronavirus-covid-19-garcetti-video/,"Now playing



LA Restaurant's Struggle With New COVID-19 Restrictions",,20201205-0000
