,text,notes,date
https://fortune.com/2020/09/18/ruth-bader-ginsburg-death-supreme-court-nomination-trump-mcconnell/,Ginsburg’s passing sets stage for contentious political fight over next Supreme Court justice,,20200920-0000
https://fortune.com/2020/09/18/democratic-donations-act-blue-election-ruth-bader-ginsburg-death/,Democratic donations skyrocket after death of Ruth Bader Ginsburg,,20200920-0000
https://fortune.com/2020/09/18/is-tiktok-getting-banned-tik-tok-us-ban-everything-to-know/,4 key things TikTok users should know as Trump’s ban looms on Sunday,,20200920-0000
https://fortune.com/2020/09/18/biden-tax-plan-raising-taxes-day-one-experts/,"Biden says raising taxes is a first-day priority, but experts don’t see that happening",,20200920-0000
https://fortune.com/2020/09/19/indy-autonomous-challenge-self-driving-artificial-intelligence/,Self-driving cars will hit the Indianapolis Motor Speedway in a landmark A.I. race,,20200920-0000
https://fortune.com/2020/09/19/holiday-travel-plans-airfare-covid-tips/,Planning to fly for the holidays? 6 things to know before you book,,20200920-0000
https://fortune.com/2020/09/19/apollo-global-management-stephanie-drescher-private-equity-credit/,Apollo’s Stephanie Drescher on running a global investment firm from her living room,,20200920-0000
https://fortune.com/2020/09/19/red-bull-f1-data-analytics-covid19-coronavirus-wind-tunnel-kx/,How data helped keep Red Bull’s F1 team on track during the pandemic,,20200920-0000
https://fortune.com/2020/09/18/ruth-bader-ginsburg-legacy-supreme-court-cases/,5 key Supreme Court cases that highlight Ruth Bader Ginsburg’s legacy,,20200920-0000
https://fortune.com/2020/09/18/wechat-ban-alternatives-imessage-signal-wickr/,"With Trump’s WeChat ban approaching, here are several alternatives",,20200920-0000
https://fortune.com/2020/09/18/marketing-cmo-lessons-coronavirus-pandemic-covid-19-women-in-business-chief-marketing-officer/,What corporate America’s top CMOs have learned about marketing in a pandemic,,20200920-0000
https://fortune.com/2020/09/17/covid-college-campuses-coronavirus-outbreaks/,Even the most cautious schools are seeing outbreaks,,20200920-0000
https://fortune.com/2020/09/18/happy-international-equal-pay-day/,Happy International Equal Pay Day?,,20200920-0000
