,text,notes,date
https://www.nbcnews.com/politics/2020-elections/president-results,Full Results / Biden apparent winner in GA; Trump wins N.C.,,20201114-0000
https://www.nbcnews.com/politics/2020-election/live-blog/2020-11-13-trump-biden-transition-n1247607,See All,,20201114-0000
https://www.nbcnews.com/news/us-news/do-no-harm,Podcast: Do No Harm,,20201114-0000
https://www.youtube.com/c/Nbclearn/playlists,NBC LEARN,,20201114-0000
https://www.nbcnews.com/politics/2020-election/final-states-called-biden-s-projected-electoral-college-victory-matches-n1247766,"Flipping Georgia, Biden's expected Electoral College victory matches Trump's in 2016",,20201114-0000
https://www.nbcnews.com/politics/2020-election/gop-sen-david-perdue-forced-runoff-democrat-jon-ossoff-georgia-n1245286,GOP Sen. David Perdue forced into runoff with Democrat Jon Ossoff in Georgia Senate race,,20201114-0000
https://www.nbcnews.com/politics/2020-election/trump-defeated-georgia-democrats-aim-keep-voters-fired-senate-control-n1247619,'Trump has awakened people': Georgia Democrats work to build on shock election result,,20201114-0000
https://www.nbcnews.com/politics/2020-election/trump-make-first-public-remarks-week-n1247752,"Trump attacks N.Y. gov, says he'll withhold Covid vaccine from state until Cuomo approves",,20201114-0000
https://www.nbcnews.com/politics/white-house/left-out-covid-19-vaccine-planning-biden-advisers-developing-their-n1247637,"Left out of vaccine planning, Biden advisers developing their own distribution strategy",,20201114-0000
https://www.nbcnews.com/business/business-news/pfizer-readies-herculean-effort-distribute-coronavirus-vaccine-n1247147,Pfizer readies 'Herculean effort' to distribute coronavirus vaccine,,20201114-0000
https://www.nbcnews.com/politics/2020-election/live-blog/2020-11-13-trump-biden-transition-n1247607/ncrd1247808,Just now42m agoTrump's not giving up and neither are his supporters,,20201114-0000
https://www.nbcnews.com/politics/2020-election/live-blog/2020-11-13-trump-biden-transition-n1247607/ncrd1247804,Just now48m agoTrump and GOP now 0-5 in Philadelphia lawsuits,,20201114-0000
https://www.nbcnews.com/politics/2020-election/live-blog/2020-11-13-trump-biden-transition-n1247607/ncrd1247800,Just now1h agoTrump stumbles referring to Biden: 'Who knows which administration it will be',,20201114-0000
https://www.nbcnews.com/politics/2020-election/live-blog/2020-11-13-trump-biden-transition-n1247607/ncrd1247799,"Just now1h agoTrump attacks N.Y. gov, says he'll withhold Covid vaccine from state until Cuomo approves",,20201114-0000
https://www.nbcnews.com/politics/2020-election/live-blog/2020-11-12-biden-harris-transition-n1247488/ncrd1247646,Top 2020 stories,,20201114-0000
https://www.nbcnews.com/politics/2020-election/republican-candidates-follow-trump-s-lead-not-concede-their-races-n1247683,Republican candidates follow Trump's lead not to concede in their races,,20201114-0000
https://www.nbcnews.com/politics/congress/biden-s-talking-republican-officials-top-aide-klain-says-n1247660,"Biden's talking to Republican officials, top aide says",,20201114-0000
https://www.nbcnews.com/news/world/china-congratulates-president-elect-joe-biden-white-house-win-eventually-n1247652,China — eventually — congratulates Biden on election win,,20201114-0000
https://www.nbcnews.com/politics/elections/democrats-gear-fight-gerrymandering-after-state-house-losses-n1247585,Democrats gear up to fight gerrymandering after state House losses,,20201114-0000
https://www.nbcnews.com/politics/2020-election/outcome-election-really-doubt-n1247558,State officials in red and blue states agree: There is no evidence of widespread election fraud,,20201114-0000
https://www.nbcnews.com/science/environment/trust-america-again-climate-leaders-hopeful-biden-put-u-s-n1247668,Biden will need to build back international trust – starting with the Paris climate accord,,20201114-0000
https://www.nbcnews.com/news/latino/years-making-established-latino-groups-helped-biden-arizona-nevada-n1246864,"'Years in the making': Established Latino groups helped Biden in Arizona, Nevada",,20201114-0000
https://www.nbcnews.com/politics/justice-department/fbi-wanted-arrest-epstein-virgin-islands-beauty-pageant-1-year-n1247788,FBI wanted to arrest Epstein at Virgin Islands beauty pageant months before plea deal cut,,20201114-0000
https://www.nbcnews.com/news/asian-america/miami-marlins-hires-kim-ng-mlb-s-first-female-general-n1247711,"Miami Marlins hire Kim Ng as MLB's first female, East Asian American general manager",,20201114-0000
https://www.nbcnews.com/news/military/gen-milley-s-wife-saved-vet-who-collapsed-veterans-day-n1247641,Gen. Milley's wife saved vet who collapsed at Veterans Day ceremony in Arlington,,20201114-0000
https://www.nbcnews.com/health/health-news/single-polypill-found-cut-heart-attacks-stroke-n1247686,One pill could prevent heart attacks and strokes. Is it worth it?,,20201114-0000
https://www.nbcnews.com/news/us-news/2-killed-explosion-rocks-veterans-affairs-hospital-campus-connecticut-n1247695,2 killed as explosion rocks Veterans Affairs hospital campus in Connecticut,,20201114-0000
https://www.nbcnews.com/think/opinion/supreme-court-justice-alito-s-federalist-society-speech-shows-how-ncna1247751,"From Covid to birth control, Alito signals the Supreme Court will take on America",,20201114-0000
https://www.nbcnews.com/think/opinion/trump-s-election-legal-challenges-won-t-change-2020-results-ncna1247702,Trump's legal challenges are dead in the water. But he can still win by losing.,,20201114-0000
https://www.nbcnews.com/think/opinion/netflix-s-mank-eerie-look-how-media-can-make-president-ncna1247699,'Mank' dramatizes the man behind 'Citizen Kane' to reveal the men behind Trump,,20201114-0000
https://www.nbcnews.com/think/opinion/grey-s-anatomy-season-17-takes-covid-tv-storytelling-new-ncna1247639,'Grey's Anatomy's' premiere is the Covid reality check America needs right now,,20201114-0000
https://www.nbcnews.com/news/us-news/researchers-covid-19-death-toll-could-double-winter-world-war-n1247726,Covid-19 death toll could double this winter to World War 2 levels,,20201114-0000
https://www.nbcnews.com/news/us-news/thanksgiving-break-nears-colleges-are-faced-student-travel-during-pandemic-n1247600,"As Thanksgiving break nears, colleges are faced with student travel during a pandemic",,20201114-0000
https://www.nbcnews.com/politics/supreme-court/justice-alito-calls-covid-restrictions-previously-unimaginable-cites-danger-religious-n1247657,"Justice Alito calls Covid restrictions 'previously unimaginable,' cites danger to religious freedom",,20201114-0000
https://www.nbcnews.com/science/science-news/vaccine-rescue-first-we-have-make-it-through-winter-experts-n1247601,"Why a return to malls, movie theaters and normal life is still a long winter away",,20201114-0000
https://www.nbcnews.com/politics/politics-news/beloved-businesses-are-going-bankrupt-waiting-federal-help-it-will-n1247561,America's beloved businesses are going under. But the government isn't moving,,20201114-0000
