,text,notes,date
https://www.newyorker.com/goings-on-about-town,Goings On,,20200818-0000
https://www.newyorker.com/tag/coronavirus,coronavirus pandemic,,20200818-0000
https://www.newyorker.com/tag/racial-injustice-in-america,Black Lives Matter protests,,20200818-0000
/news/our-columnists/joe-bidens-moment-at-the-democratic-national-convention,Joe Biden’s Moment at the Democratic National Convention,,20200818-0000
/magazine/2020/08/24/the-militias-against-masks,The Militias Against Masks,,20200818-0000
/news/q-and-a/the-importance-of-the-post-office-to-american-democracy,The Importance of the Post Office to American Democracy,,20200818-0000
/magazine/2020/08/24/do-vp-picks-matter,Do V.P. Picks Matter?,,20200818-0000
/magazine/2020/08/24/the-renegade-priest-helping-undocumented-people-survive-the-pandemic,The Renegade Priest Helping Undocumented People Survive the Pandemic,,20200818-0000
/culture/cover-story/cover-story-2020-08-24,Cover Story: Barry Blitt’s “Packed House”,,20200818-0000
/news/our-columnists/defund-the-police,We Should Still Defund the Police,,20200818-0000
/magazine/2020/08/24/the-therapeutic-power-of-gardening,The Therapeutic Power of Gardening,,20200818-0000
/books/this-week-in-fiction/david-gilbert-08-24-20,David Gilbert on John Hughes and Being Seventeen,,20200818-0000
/news/news-desk/as-newsrooms-close-across-the-country-remembering-why-they-matter,"As Newsrooms Close Across the Country, Remembering Why They Matter",,20200818-0000
/news/daily-comment/the-case-for-a-coronavirus-vaccine-bond,The Case for a Coronavirus-Vaccine Bond,,20200818-0000
/magazine/2020/08/24/be-your-own-bubble-boy,Be Your Own Bubble Boy,,20200818-0000
/culture/culture-desk/how-deforrest-brown-jr-centers-the-black-body-in-techno-music,"How DeForrest Brown, Jr., Centers the Black Body in Techno Music",,20200818-0000
/puzzles-and-games-dept/crossword/2020/08/17,A Challenging Puzzle,,20200818-0000
/business/currency/donald-trumps-incoherent-policy-on-tiktok-and-china,Trump’s Incoherent Policy on TikTok and China,,20200818-0000
/magazine/2020/08/24/-the-urgency-of-anna-deavere-smiths-twilight-los-angeles,The Urgency of Anna Deavere Smith’s “Twilight: Los Angeles”,,20200818-0000
/news/daily-comment/chinas-arrest-of-a-free-speech-icon-backfires-in-hong-kong,China’s Arrest of a Free-Speech Icon Backfires in Hong Kong,,20200818-0000
/news/our-columnists/israel-peace-deal-united-arab-emirates-transforms-the-middle-east,Israel’s New Peace Deal Transforms the Middle East,,20200818-0000
https://www.newyorker.com/magazine/2020/08/17/how-suffering-farmers-may-determine-trumps-fate#intcid=recommendations_the-new-yorker-homepage_f8ee7264-e14d-4f42-9e05-eee64444244e_popular4-1,How Suffering Farmers May Determine Trump’s Fate,,20200818-0000
https://www.newyorker.com/books/flash-fiction/the-kingdom-that-failed#intcid=recommendations_the-new-yorker-homepage_f8ee7264-e14d-4f42-9e05-eee64444244e_popular4-1,The Kingdom That Failed,,20200818-0000
https://www.newyorker.com/magazine/2020/08/17/how-china-controlled-the-coronavirus#intcid=recommendations_the-new-yorker-homepage_f8ee7264-e14d-4f42-9e05-eee64444244e_popular4-1,How China Controlled the Coronavirus,,20200818-0000
https://www.newyorker.com/magazine/2020/08/24/do-vp-picks-matter#intcid=recommendations_the-new-yorker-homepage_f8ee7264-e14d-4f42-9e05-eee64444244e_popular4-1,Do V.P. Picks Matter?,,20200818-0000
https://www.newyorker.com/magazine/2020/08/24/the-militias-against-masks#intcid=recommendations_the-new-yorker-homepage_f8ee7264-e14d-4f42-9e05-eee64444244e_popular4-1,The Militias Against Masks,,20200818-0000
/cartoons/daily-cartoon/monday-august-17th-mickey-mouse,"Daily Cartoon: Monday, August 17th",,20200818-0000
/podcast/political-scene/isabel-wilkerson-on-americas-caste-system,Isabel Wilkerson on America’s Caste System,,20200818-0000
/culture/cultural-comment/the-overlooked-influence-of-creem-magazine,The Overlooked Influence of Creem Magazine,,20200818-0000
/humor/daily-shouts/trying-to-show-anyone-anything-on-your-cracked-phone-screen,Trying to Show Anyone Anything on Your Cracked Phone Screen,,20200818-0000
/humor/borowitz-report/harris-tells-trump-she-cannot-send-him-birth-certificate-without-postal-service,Harris Tells Trump She Cannot Send Him Birth Certificate Without Postal Service,,20200818-0000
https://www.newyorker.com/crossword-puzzles-and-games,Crossword,,20200818-0000
https://www.newyorker.com/cartoons/contest,Caption Contest,,20200818-0000
https://www.newyorker.com/recommends/everything,New Yorker Recommends,,20200818-0000
/magazine/2020/08/24/rippers-brothers-and-more-of-the-rockaways-seaside-fare,"Rippers, Brothers, and More of the Rockaways’ Seaside Fare",,20200818-0000
/magazine/2020/08/24/alice-oswalds-homeric-mood,Alice Oswald’s Homeric Mood,,20200818-0000
/magazine/2020/08/24/a-drive-by-eulogy-for-new-york-citys-record-stores,A Drive-By Eulogy for New York City’s Record Stores,,20200818-0000
/magazine/2020/08/24/cicadia,“Cicadia”,,20200818-0000
https://www.newyorker.com/video/watch/why-a-prominent-american-artist-paints-skin-pitch-black,"Behind The Cover: Sojourner Truth, Founding Mother",,20200818-0000
https://www.newyorker.com/video/watch/the-patriotic-motivation-of-a-new-york-doormans-tireless-work,The Patriotic Motivation of a New York Doorman’s Tireless Work,,20200818-0000
https://www.newyorker.com/video/watch/a-film-recounts-the-imbalances-of-obsession,A Film Recounts the Imbalances of Obsession,,20200818-0000
/podcast/the-new-yorker-radio-hour/a-former-white-nationalist-goes-on-the-record-and-a-classic-villain-gets-an-origin-story,"A Former White Nationalist Goes on the Record, and a Classic Villain Gets an Origin Story",,20200818-0000
https://www.newyorker.com/newsletter,Newsletters,,20200818-0000
https://www.newyorker.com/newsletter/daily,The Daily,,20200818-0000
https://www.newyorker.com/newsletter/humor,Daily Humor,,20200818-0000
https://www.newyorker.com/newsletter/cassidy,John Cassidy,,20200818-0000
https://www.newyorker.com/newsletter/borowitz,The Borowitz Report,,20200818-0000
https://www.newyorker.com/newsletter/sorkin,Amy Davidson Sorkin,,20200818-0000
https://www.newyorker.com/newsletter/on-the-trail,Election 2020,,20200818-0000
