,text,notes,date
/2020/07/14/briefing/student-visas-china-cake-memes.html,Your Tuesday Evening BriefingHere’s what you need to know at the end of the day.,,20200715-0000
/2020/07/14/podcasts/the-daily/italy-coronavirus-hospital.html,Listen to ‘The Daily’Revisiting our conversation with an Italian doctor.,,20200715-0000
/2020/07/14/world/coronavirus-update.html,"Trump Administration Abandons Plan to Strip Student VisasThe policy would have stripped international college students of their visas if their coursework was entirely online.Amazon, Kroger and other big U.S. retailers have ended some pandemic pay raises for essential workers. Here’s the latest.",,20200715-0000
https://www.nytimes.com/2020/07/14/world/coronavirus-updates.html,"Belgrade, Serbia








						
							
								Oliver Bunic/AFP — Getty Images
							
						
					



Wylie, Texas








						
							
								LM Otero/Associated Press
							
						
					



Bangkok








						
							
								Lillian Suwanrumpha/AFP — Getty Images
							
						
					



Eastleigh, Nairobi








						
							
								Patrick Meinhardt/AFP — Getty Images
							
						
					



Puebla, Mexico








						
							
								Fernando Llano/Associated Press
							
						
					



Tangier, Morocco








						
							
								Fadel Senna/AFP— Getty Images
							
						
					



Medan, Indonesia








						
							
								Binsar Bakkara/Associated Press
							
						
					



Fargo, N.D.








						
							
								Tim Gruber for The New York Times",,20200715-0000
https://www.nytimes.com/interactive/2020/world/coronavirus-maps.html,See all new cases around the world,,20200715-0000
https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,See the U.S. hot spots,,20200715-0000
https://www.nytimes.com/interactive/2020/world/americas/brazil-coronavirus-cases.html,"Brazil »
         1,884,967",,20200715-0000
https://www.nytimes.com/interactive/2020/world/asia/india-coronavirus-cases.html,"India »
         906,752",,20200715-0000
https://www.nytimes.com/es/interactive/2020/espanol/america-latina/coronavirus-en-mexico.html,"Mexico »
         304,435",,20200715-0000
https://www.nytimes.com/interactive/2020/world/europe/united-kingdom-coronavirus-cases.html,"U.K. »
         291,373",,20200715-0000
https://www.nytimes.com/interactive/2020/world/canada/canada-coronavirus-cases.html,"Canada »
         108,155",,20200715-0000
/2020/07/14/us/politics/fauci-scavino-cartoon-white-house.html,"Aide Posts Cartoon Mocking Fauci as White House Denies Undermining HimDan Scavino, one of the president’s closest advisers, shared a cartoon by an alt-right artist who has been criticized for anti-Semitic imagery.",,20200715-0000
/2020/07/14/us/coronavirus-texas-rio-grande-valley-border.html,"I Went Home to Texas to Cover the Virus. Then My Family Got It.When our reporter returned home to his family on the Texas-Mexico border, his worst fears about the virus’s spread came true.",,20200715-0000
/2020/07/14/us/elections/primary-runoff-alabama-maine-texas.html,"Asked About Black People Killed by Police, Trump Says, ‘So Are White People’President Trump rejected the fact that Black people suffer disproportionately from police brutality, saying white people are killed in greater numbers.With coronavirus cases surging in Florida, Republicans are planning to move the three nights of their national convention outdoors.Jeff Sessions hopes to win back his old Senate seat in Alabama, while primary and runoff elections are taking place in Texas and Maine. Here’s the latest.",,20200715-0000
/2020/07/14/us/politics/voting-lines-2020-elections.html,What It’s Been Like to Vote in 2020 So FarLong lines. Pizza at the polls. Absentee ballots that never showed up. And that’s just the warm-up to November.,,20200715-0000
/2020/07/14/us/politics/alabamas-ads-negative.html,Alabama’s Senate Race Is the Most Negative in the CountryNeither candidate has aired a positive ad in months while both are trying to appeal to the brand of politics popularized by President Trump.,,20200715-0000
/2020/07/14/magazine/covid-19-public-health-texas.html,"Diego Montelongo, a medical intern, with a patient at United Memorial Medical Center in Houston. Rahim Fortune for The New York Times",,20200715-0000
