,text,notes,date
https://www.npr.org/2020/09/10/908768472/court-blocks-trumps-attempt-to-change-who-counts-for-allocating-house-seats,The Constitution says that count must include every person living in the U.S. A three-judge court in New York has ruled to block the Trump administration's attempt to exclude unauthorized immigrants.,,20200911-0000
https://www.npr.org/2020/09/10/911197883/trump-vs-the-military-the-presidents-mounting-attacks-on-the-top-brass,Trump's Attacks Put Military In 'Presidential Campaign Minefield',,20200911-0000
https://www.npr.org/2020/09/10/911469791/diana-rigg-game-of-thrones-and-the-avengers-actor-has-died-at-82,"Diana Rigg, 'Game of Thrones' And 'The Avengers' Actor, Has Died At 82",,20200911-0000
https://www.npr.org/sections/goatsandsoda/2020/09/10/909688913/whatever-happened-to-the-instant-hospitals-built-in-wuhan-for-covid-19-patients,Whatever Happened To ... The Instant Hospitals Built In Wuhan For COVID-19 Patients?,,20200911-0000
https://www.npr.org/2020/09/10/911608521/trump-says-his-misleading-coronavirus-comments-were-meant-to-show-strength,"""I don't want to jump up and down and start screaming, 'Death! Death!' "" the president said when asked about why he publicly downplayed the pandemic while privately acknowledging its severity.",,20200911-0000
https://www.npr.org/2020/09/09/911109247/trump-admitted-to-playing-down-the-coronaviruss-severity-per-new-book,"Trump Admits Playing Down Coronavirus's Severity, According To New Woodward Book",,20200911-0000
https://www.npr.org/2020/09/09/911138032/woodward-book-says-trump-chose-to-downplay-deadliness-of-virus-to-avoid-panic,"REVIEW: Trump Consistently Bends Reality, Sells His Narrative In Interviews For Woodward Book",,20200911-0000
https://www.npr.org/2020/04/21/837348551/timeline-what-trump-has-said-and-done-about-the-coronavirus,President Trump has delivered an ever-evolving message to the American public about the coronavirus pandemic. Here's a look at how his remarks and actions compare with his administration's.,,20200911-0000
https://www.npr.org/2020/09/10/911500907/the-world-lost-two-thirds-of-its-wildlife-in-50-years-we-are-to-blame,"Human activities are causing an ""unprecedented"" and alarming decline in wildlife populations around the world, a new report warns. It says the staggering loss ultimately threatens human life as well.",,20200911-0000
https://www.npr.org/sections/live-updates-protests-for-racial-justice/2020/09/10/911531561/portland-ore-mayor-bans-police-use-of-tear-gas-at-protests,"""We need something different and we need it now,"" Mayor Ted Wheeler says as he orders his city's police to halt the use of CS gas, one of the most common forms of tear gas.",,20200911-0000
