,notes,text,date
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,"President Trump's nominee tells senators on the Judiciary Commitee, ""You would not be getting Justice Scalia, you would be getting Justice Barrett.""",20201014-0000
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,"President Trump's nominee tells senators on the Judiciary Commitee, ""You would not be getting Justice Scalia, you would be getting Justice Barrett.""",20201014-0030
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/13/923278752/i-m-not-hostile-to-the-aca-barrett-pushes-back-on-democrats-claims,,Senate Judiciary Committee Democrats pressed Amy Coney Barrett about her criticism of the legal opinion that saved Obamacare. But she noted that case differs from the one before the court on Nov. 10.,20201014-0100
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/13/923278752/i-m-not-hostile-to-the-aca-barrett-pushes-back-on-democrats-claims,,Senate Judiciary Committee Democrats pressed Amy Coney Barrett about her criticism of the legal opinion that saved Obamacare. But she noted that case differs from the one before the court on Nov. 10.,20201014-0130
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/13/923278752/i-m-not-hostile-to-the-aca-barrett-pushes-back-on-democrats-claims,,Senate Judiciary Committee Democrats pressed Amy Coney Barrett about her criticism of the legal opinion that saved Obamacare. But she noted that case differs from the one before the court on Nov. 10.,20201014-0200
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,The Senate Judiciary Committee begins another round of questions for President Trump's nominee. Watch the hearing live.,20201014-1300
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,President Trump's nominee faces a third day of questions from senators. Watch the hearing live.,20201014-1330
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,President Trump's nominee faces a third day of questions from senators. Watch the hearing live.,20201014-1400
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,President Trump's nominee faces a third day of questions from senators. Watch the hearing live.,20201014-1430
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,President Trump's nominee faces a third day of questions from senators. Watch the hearing live.,20201014-1500
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,President Trump's nominee faces a third day of questions from senators. Watch the hearing live.,20201014-1530
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,President Trump's nominee faces a third day of questions from senators. Watch the hearing live.,20201014-1600
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/14/923626264/voting-is-an-individual-right-barrett-testifies-but-critics-remain-leery,"The Supreme Court nominee discussed voting laws, rights and practices with her Democratic questioners on her third day of confirmation hearings before the Senate Judiciary Committee.",,20201014-1630
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,Resuming Shortly: Amy Coney Barrett's Supreme Court Confirmation Hearing,,20201014-1630
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,"Democrats continue to press Barrett on health care and voting rights in particular. Barrett is steadfastly refusing to share her personal views, in the tradition of Supreme Court nominees before her.",20201014-1700
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,"Democrats continue to press Barrett on health care and voting rights in particular. Barrett is steadfastly refusing to share her personal views, in the tradition of Supreme Court nominees before her.",20201014-1730
https://www.npr.org/sections/live-amy-coney-barrett-supreme-court-confirmation/2020/10/12/921392600/watch-live-amy-coney-barretts-supreme-court-confirmation-hearing,,"Democrats continue to press Barrett on health care and voting rights in particular. Barrett is steadfastly refusing to share her personal views, in the tradition of Supreme Court nominees before her.",20201014-1800
