,text,notes,date
/new-york/nyc-crime/ny-bronx-teen-killed-stray-bullet-graduation-mom-speaks-20200615-aelb266v5zfqxllwkegiynssmi-story.html,Mom waiting for justice after daughter killed by stray bullets during Bronx college graduation party,,20200616-0000
/news/politics/ny-mary-trump-taxes-20200615-mukwukwxsbarvip6etnlln2doe-story.html,Trump’s niece Mary reveals she leaked president’s taxes for ‘harrowing and salacious’ tell-all book,,20200616-0000
/news/national/ny-black-officer-fired-buffalo-pd-gets-support-for-probe-and-pension-20200615-i4wulbbolzaslbn4xwumotvtki-story.html,Black officer fired from Buffalo PD after stopping white colleague’s chokehold deserves ‘new set of eyes’ on case after George Floyd,,20200616-0000
/new-york/nyc-crime/ny-murders-other-crimes-rise-nyc-20200615-6qgvjxsf4bhddapdbm254orbjy-story.html,Murders continue to surge in NYC with 38 killings in the last four weeks,,20200616-0000
/new-york/manhattan/ny-manhattan-tessa-majors-13-year-old-sentence-20200615-5apuwyne6rfajlk2s4ueu2qemi-story.html,14-year-old gets 18 months for role in murder of Bernard College student Tessa Majors,,20200616-0000
/news/national/ny-ernie-anstos-fox-leaves-tv-college-20200615-xqkaiw7o3bexbf3so5dtk5wh6m-story.html,Ernie Anastos is leaving TV to go back to college,,20200616-0000
/entertainment/north-west-adorable-baby-album-gallery-1.1702358,Look back at some of North West’s most adorable moments as she turns 7,,20200616-0000
/new-york/ny-smith-wollensky-sex-harass-suit-20200615-rc4jvq3eujcfvilhaosqesxyvy-story.html,"'You look like a schoolgirl and it’s riling everyone up’: Server endured sexual harassment at famed NYC steakhouse Smith & Wollensky, lawsuit charges",,20200616-0000
/news/politics/ny-trump-john-bolton-book-classified-20200615-4qvbnlprofdhrffaitwz65oizi-story.html,Trump claims John Bolton will face ‘very strong criminal problem’ if he publishes tell-all book,,20200616-0000
/sports/baseball/yankees/ny-20200615-fzynoi23lba7zpo76pgpl2ju2m-story.html,"Gerrit Cole is ready to play, but now Rob Manfred isn’t so sure there will be a season at all",,20200616-0000
/new-york/ny-hanging-medical-examiner-rules-suicide-manhattan-fort-tyron-park-20200615-o5fwog2jsreaniuomxbontxabu-story.html,Death of man found hanged from tree in Manhattan park ruled a suicide: medical examiner,,20200616-0000
/sports/football/ny-ezekiel-elliott-cowboys-texans-coronavirus-nfl-season-20200615-fwrozywglve3lnr7a5sce2ev7y-story.html,"Cowboys’ and Texans’ positive coronavirus tests a reminder that NFL season could be compromised, too",,20200616-0000
/news/national/ny-atlanta-mayor-announces-new-rules-for-police-after-massive-protests-20200615-hvxsglo2y5dsznl7x2diysqcjm-story.html,Atlanta mayor announces new rules for police after massive protests over Rayshard Brooks death,,20200616-0000
/new-york/nyc-crime/ny-cop-suspended-mace-protesters-20200615-wjacwkufszcbbipv35cmk74jcy-story.html,SEE IT: NYPD cop suspended for pepper spraying George Floyd protesters two weeks ago,,20200616-0000
/new-york/ny-pregnant-car-collision-victim-speeding-20200615-n3i7ihnlkzhodkbzsix464vqfe-story.html,"‘The entire thing is a tragedy,’ says father-in-law of Staten Island woman who miscarried after crash with unlicensed wrong-way driver",,20200616-0000
/snyde/ny-ron-perlman-ted-cruz-wrestling-match-20200615-3mobajq4qzfntlos3d3dnf6dd4-story.html,Ron Perlman challenges Ted Cruz to $50K wrestling match after Twitter spat with Rep. Matt Gaetz,,20200616-0000
/new-york/nyc-crime/ny-man-bound-burned-bronx-highway-20200615-ghg3hqxahbfk7kcd7zhg5nwece-story.html,Burning body of naked man with feet bound found on side of Bronx highway,,20200616-0000
/news/national/ny-racist-karen-husband-black-lives-robert-larkin-20200615-qyupw2b2ajdohl6zshw6qkk4n4-story.html,Husband of San Francisco ‘Karen’ loses job after video of the couple harassing a Black Lives Matter advocate goes viral,,20200616-0000
/life-style/eats/sns-what-food-a-dollar-could-buy-the-year-you-were-born-20200416-h3wj6bwsrjbm7jplpweuke4wly-photogallery.html,This is what a dollar could buy through the years,,20200616-0000
/opinion/ny-oped-bowie-mtv-racism-20200615-g2eyasw53nbuvfxxci6uum77c4-story.html,"Systemic racism’s scary monster: David Bowie, MTV and uncomfortable truths",,20200616-0000
/coronavirus/ny-coronavirus-trackers-george-floyd-protests-20200615-m5bfhbynqbcpledxy4ajiwaosy-story.html,NYC coronavirus tracers aren’t asking about George Floyd protests over fear of ‘alienating’ people,,20200616-0000
/entertainment/ny-puzzles-for-june-15-2020-20200615-ztkpv3i6brb27bkhg7bza2xr6i-story.html,How well do you know about execution and witchcraft throughout American history?,,20200616-0000
/snyde/ny-celebrities-show-their-support-during-national-george-floyd-protests-20200602-e6tfr4jndjgpvgzflimtf7q63e-photogallery.html,"Tiffany Haddish, Megan Thee Stallion and other celebrites at protests",,20200616-0000
/travel/sns-important-african-american-landmarks-across-america-20200602-fjvzimbh5fgjrojxvagbvzfraq-photogallery.html,Important African American landmarks across the country,,20200616-0000
/snyde/ny-coronavirus-2020-drama-desk-awards-virtual-moulin-rouge-20200615-bvw2oljthzgkfdvkrprv3lcmhi-story.html,"‘Moulin Rouge,’ ‘A Strange Loop’ and ‘The Inheritance’ win big at 2020 Drama Desk Awards",,20200616-0000
/life-style/eats/sns-best-ways-re-use-leftovers-20200427-qxde54payreh3lapog56njzu2e-photogallery.html,Leftovers don't have to be boring. Here's how to make them better,,20200616-0000
/coronavirus/sns-should-you-fix-that-yourself-home-repair-20200526-abrfv42abrgtvifgkzgjgq4sny-photogallery.html,Should you fix that yourself? How to handle home repair,,20200616-0000
/snyde/ny-couple-goals-love-together-celebrity-stars-20200522-cn6joj7n6ve7dlanv3e65chxla-photogallery.html,Dua Lipa celebrates 1 year anniversary with boyfriend in sweet post,,20200616-0000
/snyde/ny-drake-2020-bet-awards-nominations-broadcast-cbs-20200615-mxwsb2k6mrcujjtglwtuxxaldu-story.html,"With six nominations, Drake leads pack for ‘2020 BET Awards,’ to be broadcast on CBS for very first time",,20200616-0000
/snyde/ny-beyonce-open-letter-demanding-justice-breonna-taylor-kentucky-ag-20200615-wpoxgoae4re6hlhn5mfdo5qway-story.html,"Demanding justice for Breonna Taylor, Beyoncé pens open letter to Kentucky Attorney General",,20200616-0000
/snyde/ny-disney-suspends-abc-news-executive-barbara-fedida-racism-20200615-4sbckj5oubhqxa5yczzzrv24ve-story.html,Disney suspends ABC News executive Barbara Fedida under investigation for racism,,20200616-0000
