,text,notes,date
/bayarea/article/Coronavirus-live-updates-news-bay-area-15237940.php,Coronavirus live updates: Tensions boil over as Lake Tahoe residents bristle at tourist overload,,20200815-0000
/giants/article/Giants-hot-hitting-Austin-Slater-diagnosed-15485249.php,Giants’ Austin Slater diagnosed with flexor strain in elbow,,20200815-0000
/bayarea/article/Bay-Area-cities-counties-put-in-for-chunk-of-15485201.php,"Bay Area cities, counties eye $100M pot for homeless housing",,20200815-0000
/bayarea/article/Flare-sends-billow-of-smoke-above-Chevron-s-15484878.php,Flare sends billow of smoke above Chevron’s Richmond refinery,,20200815-0000
/bayarea/article/Owners-of-Monster-in-the-Mission-fighting-in-15485172.php,Owners of Monster in the Mission in court over sale of housing project,,20200815-0000
/crime/article/Suspect-arrested-in-slaying-of-15-year-old-15485136.php,Suspect arrested in slaying of 15-year-old,,20200815-0000
/news/article/Appeals-court-strikes-down-California-law-banning-15485086.php,Court strikes down California law banning large-capacity gun magazines,,20200815-0000
/news/article/Heat-wave-to-steamroll-the-Bay-Area-for-at-least-15485510.php,Heat wave to steamroll the Bay Area for at least a week,,20200815-0000
/bayarea/article/Californians-urged-to-conserve-power-as-heat-15485178.php,Californians urged to conserve power as ‘heat storm’ could cause...,,20200815-0000
/bayarea/article/With-heat-wave-on-the-way-here-s-a-list-of-15485169.php,The heat is on this weekend. Here’s a list of Bay Area cooling centers,,20200815-0000
/health/article/Weekend-heatwave-will-swell-beach-crowds-and-15482590.php,Weekend heat wave will swell beach crowds — and coronavirus fears,,20200815-0000
/food/article/10-things-to-know-about-Kamala-Harris-15484610.php,"Where Kamala Harris gets her favorite burrito, and other food facts",,20200815-0000
/bayarea/otisrtaylorjr/article/I-ve-gotta-be-straight-with-you-I-wasn-t-15483328.php,Otis Taylor Jr. | I’ve gotta be straight: I wasn’t rooting for Kamala,,20200815-0000
/politics/article/10-things-to-know-about-Kamala-Harris-and-her-Bay-15480013.php,10 things to know about Kamala Harris and her Bay Area background,,20200815-0000
/travel/article/8-ways-to-rediscover-the-Bay-Area-s-beauty-15475824.php,8 ways to rediscover the Bay Area’s beauty during pandemic,,20200815-0000
/travel/article/Yosemite-lodging-logjam-projected-to-open-in-fall-15481733.php,Yosemite lodging logjam projected to open in fall season,,20200815-0000
/travel/article/Stop-disrespecting-our-home-Overtourism-15482897.php,‘Stop disrespecting our home’: Overtourism sparks protests in Tahoe,,20200815-0000
/health/article/Meet-Trump-s-new-coronavirus-advisor-Stanford-15485474.php,"Meet Trump’s new advisor: Stanford expert wants to reopen now, ‘safely’",,20200815-0000
