,text,notes,date
/tags/covid-19/,COVID-19 global dataConfirmed cases:  Recoveries:  Deaths:,,20200817-0000
/middleeast/202008161080189848-uae-deal-brings-israels-ultimate-disintegration-closer---advisor-to-iran-supreme-leader/,UAE Deal Brings Israel’s ‘Ultimate Disintegration Closer’ - Advisor to Iran Supreme Leader,,20200817-0000
/middleeast/202008161080190667-israel-closer-to-us-clean-network-by-abandoning-chinese-5g-tech-report-claims/,"Israel Closer to US 'Clean Network' by Abandoning Chinese 5G Tech, Report Claims",,20200817-0000
/us/202008161080190272-multiple-texas-law-enforcement-agents-shot-in-cedar-park/,At Least Three Texas Police Officers Shot in Cedar Park,,20200817-0000
/middleeast/202008161080190382-israeli-tanks-attack-hamas-positions-in-gaza-strip-idf-says/,"Israeli Tanks Attack Hamas Positions in Gaza Strip, IDF Says",,20200817-0000
/us/202008161080189311-trump-goes-off-on-fox-news-says-its-worse-than-fake-news-cnn-on-weekend-afternoons/,"Trump Goes Off on Fox News, Says It's ‘Worse Than Fake News CNN’ on Weekend Afternoons",,20200817-0000
/middleeast/202008161080189838-netanyahu-says-uae-israel-peace-deal-shows-arab-countries-wont-be-held-hostage-by-palestinians/,Netanyahu Says UAE-Israel Peace Deal Shows Arab Countries Won't be 'Held Hostage by Palestinians',,20200817-0000
/asia/202008161080190311-new-zealand-election-postponed-four-weeks-due-to-covid-19-pandemic---pm/,New Zealand Election Postponed Four Weeks Due to COVID-19 Pandemic - PM,,20200817-0000
/sport/202008161080190100-fc-barcelona-president-confirms-resignation-of-head-coach-enrique-setien/,FC Barcelona President Confirms Resignation of Head Coach Enrique Setien,,20200817-0000
/us/202008161080190025-democrats-set-to-hold-convention-to-nominate-biden-for-us-president/,Democrats Set to Hold Convention to Nominate Biden for US President,,20200817-0000
/viral/202008161080189728-tiktok-user-rejects-criticism-over-video-of-her-swimming-in-hudson-river/,TikTok User Rejects Criticism Over Video of Her Swimming in Hudson River,,20200817-0000
/asia/202008161080189942-over-20000-gather-in-bangkok-for-anti-government-rally--free-youth-movement/,"Over 20,000 Gather in Bangkok for Anti-Government Rally – Free Youth Movement",,20200817-0000
/us/202008161080189454-development-of-obamas-planned-hawaiian-retirement-home-bypassed-environmental-regulations---report/,Development of Obama's Planned Hawaiian Retirement Home Bypassed Environmental Regulations - Report,,20200817-0000
/society/202008161080189536-thatll-be-all-former-ellen-staffer-compares-work-environment-on-show-to-the-devil-wears-prada/,That'll Be All? Former Ellen Staffer Compares Work Environment on Show to 'The Devil Wears Prada',,20200817-0000
/military/202008161080189428-us-media-reveals-american-israeli-plans-to-fight-s-400s-if-they-end-up-in-iran/,"US Media Reveals American, Israeli Plans to Fight S-400s If They End Up in Iran",,20200817-0000
/viral/202008161080189350-trash-me-elon-musk-invites-people-to-vandalize-his-wikipedia-page/,'Trash Me': Elon Musk Invites People to Vandalize His Wikipedia Page,,20200817-0000
/middleeast/202008161080189283-one-rocket-hits-baghdads-green-zone/,One Rocket Hits Baghdad's Green Zone,,20200817-0000
/europe/202008151080175963-Live-Updates-Lukashenko-Says-Air-Assault-Brigade-Will-Move-to-Belarus-Western-Border/,Live Updates: Lukashenko Says Air Assault Brigade Will Move to Belarus' Western Border,,20200817-0000
/society/202008141080171819-pics-emerge-showing-prince-andrew-bill-clinton-next-to-epsteins-late-complicit-maid/,"Pics Emerge Showing Prince Andrew, Bill Clinton Next to Epstein’s Late ‘Complicit’ Maid",,20200817-0000
/us/202008151080180857-infowars-millie-weaver-reportedly-arrested-as-her-whistleblowing-documentary-premiers-online/,Infowars' Millie Weaver Reportedly Arrested as Her Whistleblowing Documentary Premiers Online,,20200817-0000
/us/202008161080183297-us-presidents-brother-robert-trump-has-died---potus-statement/,US President's Younger Brother Robert Trump Has Died,,20200817-0000
/middleeast/202008141080169232-erdogan-threatens-to-sever-diplomatic-ties-with-uae-close-abu-dhabi-embassy-over-deal-with-israel/,"Erdogan Threatens to Sever Diplomatic Ties With UAE, Close Abu Dhabi Embassy Over Deal with Israel",,20200817-0000
/europe/202008161080186138-lukashenko-reports-nato-military-buildup-on-belaruss-western-borders/,Alexander Lukashenko Warns Belarus ‘Will Die as a State’ If It Agrees to Hold New Elections,,20200817-0000
/europe/202008161080184181-Live-Updates-Pro-and-Anti-Lukashenko-Rallies-Held-in-Minsk/,Live Updates: Pro- and Anti-Lukashenko Rallies Held in Minsk,,20200817-0000
/columnists/202008151080179300-can-us-abide-by-law/,Can US Abide By Law?,,20200817-0000
/authors/van-de-beek_eric/,Eric van de Beek,,20200817-0000
/columnists/202008151080178577-chairwoman-of-the-russian-senate-denied-entry-to-the-hague/,Chairwoman of the Russian Senate Denied Entry to The Hague,,20200817-0000
/columnists/202008141080172923-uk-economy-heading-for-the-rocks/,UK Economy Heading for the Rocks Unless Life Returns to the Normal Without Delay,,20200817-0000
/columnists/202008141080170954-boris-gets-a-big-f/,Boris Gets a Big F!,,20200817-0000
/videoclub/202008161080187211-bear-with-us-for-a-moment-three-cubs-and-their-mama-wander-along-road/,Bear With Us For a Moment! Three Cubs and Their Mama Wander Along Road,,20200817-0000
/videoclub/202008161080179513-please-dont-stop-golden-retriever-puppy-is-in-heaven-while-being-patted/,"Please, Don't Stop: Golden Retriever Puppy is in Heaven While Being Patted",,20200817-0000
/videoclub/202008151080177693-jacuzzi-anyone-dog-gets-engulfed-in-sea-foam/,Jacuzzi Anyone? Dog Gets Engulfed in Sea Foam,,20200817-0000
/videoclub/202008151080177702-electrifying-spectacle-enigmatically-glowing-marine-creature-gives-a-sneeze/,"Electrifying Spectacle: Enigmatically-Glowing Marine Creature Gives a ""Sneeze""",,20200817-0000
/viral/202008161080185892-russias-sputnik-v-vaccine-wipes-out-earth-sized-coronavirus-in-promo-video/,Russia’s Sputnik V Vaccine Wipes Out Earth-Sized Coronavirus in Promo Video,,20200817-0000
/viral/202008151080181716-photos-of-hitlers-teeth-shared-online-by-kremlin-spokesmans-daughter/,Photos of Hitler's Teeth Shared Online by Kremlin Spokesman's Daughter,,20200817-0000
/radio_the_critical_hour/202008151080175386-biden-picks-harris-as-running-mate-trump-campaign-reverts-to-birther-attacks/,"On this edition of The Critical Hour, co-hosts Dr. Wilmer Leon and Garland Nixon speak to journalist and political analyst Caleb Maupin about Senator Kamala Harris (D-CA) receiving the vice-presidential nod from presumptive Democratic presidential candidate Joe Biden.",,20200817-0000
/radio_loud_and_clear/202008151080174477-the-modern-day-pirates/,"On today's episode of Loud & Clear, Brian Becker and John Kiriakou are joined by Mohammad Marandi, an expert on American studies and postcolonial literature who teaches at the University of Tehran.",,20200817-0000
/radio_by_any_means/202008151080174143-israeli-deal-with-uae-infuriates-palestinians--black-august-heats-up/,Albert Fox explains Black August amid uprisings; Palestine outraged by Israel-UAE deal; Big college football conferences set to skip season,,20200817-0000
/radio_fault_lines/202008151080172017-biden-and-trump-spar-over-nationwide-mask-mandate/,"On this morning’s edition of Fault Lines, hosts Shane Stranahan and Jamarl Thomas discussed the latest news, including issues like the back-and-forth between Donald Trump and Joe Biden over the issue of a mask mandate, the situation in Belarus, and the US media's continued blame Russia narrative.",,20200817-0000
/photo/202008121080143078-introverts-dream-most-isolated-houses-across-the-globe/,Introvert's Dream: Most Isolated Houses Across the Globe,,20200817-0000
/infographics/202008111080136705-russias-vaccine-against-covid-19-in-facts-and-details/,Russia’s Vaccine Against COVID-19 in Facts and Details,,20200817-0000
/cartoons/202008141080160089-going-postal/,Going Postal,,20200817-0000
/cartoons/202008111080139396-history-schmistory/,History Schmistory,,20200817-0000
/analysis/202008111080137681-why-sputnik-moment-of-russias-first-covid-vaccine-triggered-sour-grapes-reaction-in-western-msm/,"On 11 August, Russia announced the world's first vaccine for COVID-19, named 'Sputnik V', in a bid to curb the pandemic that has currently killed over 737,000 globally. International observers detail why the breakthrough development has been met with either silence or rejection from the Western press.",,20200817-0000
/analysis/202008121080136607-is-war-in-the-air-us-anti-china-bellicosity-may-push-the-world-over-the-edge-prof-warns/,"While the US is raising the stakes in its power game against the People's Republic of China (PRC), a tiny accidental spark may lead to a catastrophe, according to Dr Heinz Dieterich, coordinator at the World Advanced Research Project (WARP), who has outlined what could help the world prevent this outcome in a short and long-term perspective.",,20200817-0000
/analysis/202008111080136841-protests-in-lebanon-will-continue-unless-new-govt-will-be-independent-of-old-elites-analysts-say/,Lebanon's government stepped down on Monday night in the aftermath of a deadly blast that shattered the country's capital on 4 August and claimed the lives of more than 200 people. International observers have discussed whether the Diab cabinet’s resignation will help fix the situation and what forces could take the reins.,,20200817-0000
/analysis/202008111080135031-why-new-york-state-lawsuit-against-nra-is-a-political-attack--part-of-broader-democratic-campaign-/,"The lawsuit against the National Rifle Association (NRA) has all the earmarks of political persecution ahead of the 2020 elections, US observers say, explaining how the New York attorney general is using the entity's financial mismanagement issue to shut it down.",,20200817-0000
/analysis/202008091080111402-race-for-moon--mars-may-develop-between-us-led-bloc-and-sino-russian-alliance-analyst-suggests/,"Russo-Chinese outer space and lunar cooperation fits the national and strategic interests of both Moscow and Beijing, says international affairs and security analyst Mark Sleboda,  who sheds light on the hidden strings in Washington's bold moon programme Artemis.",,20200817-0000
/analysis/202008061080055399-nuking-of-japan-was-totally-unnecessary-and-didnt-end-world-war-ii-us-historian-explains/,"The historical record shows that it was the entry of the Soviets into the Pacific theatre that brought the Second World War to a close, and the idea that it was the use of atomic weapons that ended the war is a ""myth"" unsupported by the evidence, academic Peter Kuznick tells Sputnik.",,20200817-0000
/tags/covid-19/,COVID-19 global dataConfirmed cases:  Recoveries:  Deaths:,,20200817-0030
/middleeast/202008161080189848-uae-deal-brings-israels-ultimate-disintegration-closer---advisor-to-iran-supreme-leader/,UAE Deal Brings Israel’s ‘Ultimate Disintegration Closer’ - Advisor to Iran Supreme Leader,,20200817-0030
/middleeast/202008161080190667-israel-closer-to-us-clean-network-by-abandoning-chinese-5g-tech-report-claims/,"Israel Closer to US 'Clean Network' by Abandoning Chinese 5G Tech, Report Claims",,20200817-0030
/us/202008161080190272-multiple-texas-law-enforcement-agents-shot-in-cedar-park/,At Least Three Texas Police Officers Shot in Cedar Park,,20200817-0030
/middleeast/202008161080190382-israeli-tanks-attack-hamas-positions-in-gaza-strip-idf-says/,"Israeli Tanks Attack Hamas Positions in Gaza Strip, IDF Says",,20200817-0030
/us/202008161080189311-trump-goes-off-on-fox-news-says-its-worse-than-fake-news-cnn-on-weekend-afternoons/,"Trump Goes Off on Fox News, Says It's ‘Worse Than Fake News CNN’ on Weekend Afternoons",,20200817-0030
/middleeast/202008161080189838-netanyahu-says-uae-israel-peace-deal-shows-arab-countries-wont-be-held-hostage-by-palestinians/,Netanyahu Says UAE-Israel Peace Deal Shows Arab Countries Won't be 'Held Hostage by Palestinians',,20200817-0030
/asia/202008161080190311-new-zealand-election-postponed-four-weeks-due-to-covid-19-pandemic---pm/,New Zealand Election Postponed Four Weeks Due to COVID-19 Pandemic - PM,,20200817-0030
/sport/202008161080190100-fc-barcelona-president-confirms-resignation-of-head-coach-enrique-setien/,FC Barcelona President Confirms Resignation of Head Coach Enrique Setien,,20200817-0030
/us/202008161080190025-democrats-set-to-hold-convention-to-nominate-biden-for-us-president/,Democrats Set to Hold Convention to Nominate Biden for US President,,20200817-0030
/viral/202008161080189728-tiktok-user-rejects-criticism-over-video-of-her-swimming-in-hudson-river/,TikTok User Rejects Criticism Over Video of Her Swimming in Hudson River,,20200817-0030
/asia/202008161080189942-over-20000-gather-in-bangkok-for-anti-government-rally--free-youth-movement/,"Over 20,000 Gather in Bangkok for Anti-Government Rally – Free Youth Movement",,20200817-0030
/us/202008161080189454-development-of-obamas-planned-hawaiian-retirement-home-bypassed-environmental-regulations---report/,Development of Obama's Planned Hawaiian Retirement Home Bypassed Environmental Regulations - Report,,20200817-0030
/society/202008161080189536-thatll-be-all-former-ellen-staffer-compares-work-environment-on-show-to-the-devil-wears-prada/,That'll Be All? Former Ellen Staffer Compares Work Environment on Show to 'The Devil Wears Prada',,20200817-0030
/military/202008161080189428-us-media-reveals-american-israeli-plans-to-fight-s-400s-if-they-end-up-in-iran/,"US Media Reveals American, Israeli Plans to Fight S-400s If They End Up in Iran",,20200817-0030
/viral/202008161080189350-trash-me-elon-musk-invites-people-to-vandalize-his-wikipedia-page/,'Trash Me': Elon Musk Invites People to Vandalize His Wikipedia Page,,20200817-0030
/middleeast/202008161080189283-one-rocket-hits-baghdads-green-zone/,One Rocket Hits Baghdad's Green Zone,,20200817-0030
/europe/202008151080175963-Live-Updates-Lukashenko-Says-Air-Assault-Brigade-Will-Move-to-Belarus-Western-Border/,Live Updates: Lukashenko Says Air Assault Brigade Will Move to Belarus' Western Border,,20200817-0030
/society/202008141080171819-pics-emerge-showing-prince-andrew-bill-clinton-next-to-epsteins-late-complicit-maid/,"Pics Emerge Showing Prince Andrew, Bill Clinton Next to Epstein’s Late ‘Complicit’ Maid",,20200817-0030
/us/202008151080180857-infowars-millie-weaver-reportedly-arrested-as-her-whistleblowing-documentary-premiers-online/,Infowars' Millie Weaver Reportedly Arrested as Her Whistleblowing Documentary Premiers Online,,20200817-0030
/us/202008161080183297-us-presidents-brother-robert-trump-has-died---potus-statement/,US President's Younger Brother Robert Trump Has Died,,20200817-0030
/europe/202008161080186138-lukashenko-reports-nato-military-buildup-on-belaruss-western-borders/,Alexander Lukashenko Warns Belarus ‘Will Die as a State’ If It Agrees to Hold New Elections,,20200817-0030
/middleeast/202008141080169232-erdogan-threatens-to-sever-diplomatic-ties-with-uae-close-abu-dhabi-embassy-over-deal-with-israel/,"Erdogan Threatens to Sever Diplomatic Ties With UAE, Close Abu Dhabi Embassy Over Deal with Israel",,20200817-0030
/europe/202008161080184181-Live-Updates-Pro-and-Anti-Lukashenko-Rallies-Held-in-Minsk/,Live Updates: Pro- and Anti-Lukashenko Rallies Held in Minsk,,20200817-0030
/columnists/202008151080179300-can-us-abide-by-law/,Can US Abide By Law?,,20200817-0030
/authors/van-de-beek_eric/,Eric van de Beek,,20200817-0030
/columnists/202008151080178577-chairwoman-of-the-russian-senate-denied-entry-to-the-hague/,Chairwoman of the Russian Senate Denied Entry to The Hague,,20200817-0030
/columnists/202008141080172923-uk-economy-heading-for-the-rocks/,UK Economy Heading for the Rocks Unless Life Returns to the Normal Without Delay,,20200817-0030
/columnists/202008141080170954-boris-gets-a-big-f/,Boris Gets a Big F!,,20200817-0030
