,text,notes,date
https://www.theatlantic.com/ideas/archive/2020/08/new-gop-platform-authoritarianism/615640/,The Platform the GOP Is Too Scared to Publish,,20200826-0000
https://www.theatlantic.com/politics/archive/2020/08/nikki-haley-tim-scott-vs-donald-trump-jr/615652/,The Battle for the Future of the GOP Is No Contest,,20200826-0000
https://www.theatlantic.com/ideas/archive/2020/08/an-immigrants-plea-dont-turn-our-america-white/615646/,‘Please Don’t Convert to Whiteness’,,20200826-0000
https://www.theatlantic.com/family/archive/2020/08/how-embrace-uncertainty-pandemic-times/615634/,Preparing Your Mind for Uncertain Times,,20200826-0000
https://www.theatlantic.com/magazine/archive/2020/07/trumps-collaborators/612250/,History Will Judge the Complicit,,20200826-0000
https://www.theatlantic.com/politics/archive/2020/08/mccloskeys-trump-suburbs-rnc/615655/,The McCloskeys’ Unsubtle Message to White America,,20200826-0000
https://www.theatlantic.com/ideas/archive/2020/08/my-son-is-looking-to-me-for-answersand-i-dont-have-them-anymore/615643/,My Son Is Looking to Me for Answers—And I Don’t Have Them Anymore,,20200826-0000
https://www.theatlantic.com/culture/archive/2020/08/aaron-coleman-kansas-revenge-porn-rehabilitation/615631/,The Unending Influence of ‘Boys Will Be Boys’,,20200826-0000
https://www.theatlantic.com/international/archive/2020/08/pandemic-protest-double-standard-authoritarianism/615622/,Where the Pandemic Is Cover for Authoritarianism,,20200826-0000
https://www.theatlantic.com/ideas/archive/2020/08/us-facing-possibility-truly-illegitimate-election/615376/,The U.S. Is Facing the Possibility of a Truly Illegitimate Election,,20200826-0000
https://www.theatlantic.com/politics/archive/2020/08/conspiracy-theory-rule-them-all/615550/,The Conspiracy Theory to Rule Them All,,20200826-0000
https://www.theatlantic.com/newsletters/archive/2020/08/jacob-blake-police-reform/615670/,The Atlantic Daily: The Jacob Blake Shooting and the State of Police Reform,,20200826-0000
https://www.theatlantic.com/ideas/archive/2020/08/how-anger-can-build-better-world/615625/,Anger Can Build a Better World,,20200826-0000
https://www.theatlantic.com/science/archive/2020/08/a-new-plan-to-surmount-climate-policys-greatest-obstacle/615658/,Democrats Are Trying to Save Climate Policy From the Senate,,20200826-0000
https://www.theatlantic.com/ideas/archive/2020/08/party-no-content/615607/,The Party of No Content,,20200826-0000
https://www.theatlantic.com/ideas/archive/2020/08/new-gop-platform-authoritarianism/615640/,The Platform the GOP Is Too Scared to Publish,,20200826-0030
https://www.theatlantic.com/politics/archive/2020/08/nikki-haley-tim-scott-vs-donald-trump-jr/615652/,The Battle for the Future of the GOP Is No Contest,,20200826-0030
https://www.theatlantic.com/ideas/archive/2020/08/an-immigrants-plea-dont-turn-our-america-white/615646/,‘Please Don’t Convert to Whiteness’,,20200826-0030
https://www.theatlantic.com/family/archive/2020/08/how-embrace-uncertainty-pandemic-times/615634/,Preparing Your Mind for Uncertain Times,,20200826-0030
https://www.theatlantic.com/magazine/archive/2020/07/trumps-collaborators/612250/,History Will Judge the Complicit,,20200826-0030
https://www.theatlantic.com/politics/archive/2020/08/mccloskeys-trump-suburbs-rnc/615655/,The McCloskeys’ Unsubtle Message to White America,,20200826-0030
https://www.theatlantic.com/ideas/archive/2020/08/my-son-is-looking-to-me-for-answersand-i-dont-have-them-anymore/615643/,My Son Is Looking to Me for Answers—And I Don’t Have Them Anymore,,20200826-0030
https://www.theatlantic.com/culture/archive/2020/08/aaron-coleman-kansas-revenge-porn-rehabilitation/615631/,The Unending Influence of ‘Boys Will Be Boys’,,20200826-0030
https://www.theatlantic.com/international/archive/2020/08/pandemic-protest-double-standard-authoritarianism/615622/,Where the Pandemic Is Cover for Authoritarianism,,20200826-0030
https://www.theatlantic.com/ideas/archive/2020/08/us-facing-possibility-truly-illegitimate-election/615376/,The U.S. Is Facing the Possibility of a Truly Illegitimate Election,,20200826-0030
https://www.theatlantic.com/politics/archive/2020/08/conspiracy-theory-rule-them-all/615550/,The Conspiracy Theory to Rule Them All,,20200826-0030
https://www.theatlantic.com/newsletters/archive/2020/08/jacob-blake-police-reform/615670/,The Atlantic Daily: The Jacob Blake Shooting and the State of Police Reform,,20200826-0030
https://www.theatlantic.com/ideas/archive/2020/08/how-anger-can-build-better-world/615625/,Anger Can Build a Better World,,20200826-0030
https://www.theatlantic.com/science/archive/2020/08/a-new-plan-to-surmount-climate-policys-greatest-obstacle/615658/,Democrats Are Trying to Save Climate Policy From the Senate,,20200826-0030
https://www.theatlantic.com/ideas/archive/2020/08/party-no-content/615607/,The Party of No Content,,20200826-0030
https://www.theatlantic.com/ideas/archive/2020/08/new-gop-platform-authoritarianism/615640/,The Platform the GOP Is Too Scared to Publish,,20200826-0100
https://www.theatlantic.com/politics/archive/2020/08/nikki-haley-tim-scott-vs-donald-trump-jr/615652/,The Battle for the Future of the GOP Is No Contest,,20200826-0100
https://www.theatlantic.com/ideas/archive/2020/08/an-immigrants-plea-dont-turn-our-america-white/615646/,‘Please Don’t Convert to Whiteness’,,20200826-0100
https://www.theatlantic.com/family/archive/2020/08/how-embrace-uncertainty-pandemic-times/615634/,Preparing Your Mind for Uncertain Times,,20200826-0100
https://www.theatlantic.com/magazine/archive/2020/07/trumps-collaborators/612250/,History Will Judge the Complicit,,20200826-0100
https://www.theatlantic.com/politics/archive/2020/08/mccloskeys-trump-suburbs-rnc/615655/,The McCloskeys’ Unsubtle Message to White America,,20200826-0100
https://www.theatlantic.com/ideas/archive/2020/08/my-son-is-looking-to-me-for-answersand-i-dont-have-them-anymore/615643/,My Son Is Looking to Me for Answers—And I Don’t Have Them Anymore,,20200826-0100
https://www.theatlantic.com/culture/archive/2020/08/aaron-coleman-kansas-revenge-porn-rehabilitation/615631/,The Unending Influence of ‘Boys Will Be Boys’,,20200826-0100
https://www.theatlantic.com/international/archive/2020/08/pandemic-protest-double-standard-authoritarianism/615622/,Where the Pandemic Is Cover for Authoritarianism,,20200826-0100
https://www.theatlantic.com/ideas/archive/2020/08/us-facing-possibility-truly-illegitimate-election/615376/,The U.S. Is Facing the Possibility of a Truly Illegitimate Election,,20200826-0100
https://www.theatlantic.com/politics/archive/2020/08/conspiracy-theory-rule-them-all/615550/,The Conspiracy Theory to Rule Them All,,20200826-0100
https://www.theatlantic.com/newsletters/archive/2020/08/jacob-blake-police-reform/615670/,The Atlantic Daily: The Jacob Blake Shooting and the State of Police Reform,,20200826-0100
https://www.theatlantic.com/ideas/archive/2020/08/how-anger-can-build-better-world/615625/,Anger Can Build a Better World,,20200826-0100
https://www.theatlantic.com/science/archive/2020/08/a-new-plan-to-surmount-climate-policys-greatest-obstacle/615658/,Democrats Are Trying to Save Climate Policy From the Senate,,20200826-0100
https://www.theatlantic.com/ideas/archive/2020/08/party-no-content/615607/,The Party of No Content,,20200826-0100
https://www.theatlantic.com/ideas/archive/2020/08/new-gop-platform-authoritarianism/615640/,The Platform the GOP Is Too Scared to Publish,,20200826-0130
https://www.theatlantic.com/politics/archive/2020/08/nikki-haley-tim-scott-vs-donald-trump-jr/615652/,The Battle for the Future of the GOP Is No Contest,,20200826-0130
https://www.theatlantic.com/ideas/archive/2020/08/an-immigrants-plea-dont-turn-our-america-white/615646/,‘Please Don’t Convert to Whiteness’,,20200826-0130
