,text,notes,date
https://www.washingtonpost.com/nation/2020/06/09/george-floyd-funeral-protests-updates/,"Sharpton, other speakers call for justice as mourners honor George Floyd",,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/george-floyd-funeral-protests-updates/#link-3MTJQ4YKZBBI5AGBK2OXPEYOFI,"Court denounces use of deadly force by police and says, ‘This has to stop’",,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/george-floyd-funeral-protests-updates/#link-TRUHFB2BX5EATIB26RQRATV2OY,Long-running series ‘Cops’ canceled at Paramount Network,,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/george-floyd-funeral-protests-updates/#link-U3ROP2VSSFFWRAUH62EDH4JGHM,"Protesters sue Seattle, alleging ‘unnecessary violence’ by police",,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/george-floyd-funeral-protests-updates/#link-422QZR4TURHZLM52PYARP7U3ZY,D.C. National Guard members test positive for coronavirus after deploying to protests,,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/george-floyd-funeral-protests-updates/#link-35DI62KNOFE4RFLSNW6I2QD2E4,Virginia governor vows to fight temporary injunction against removing Robert E. Lee statue,,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/george-floyd-funeral-protests-updates/#link-5AIYEIJCPZGMJLIF76EJQC6MM4,Report: Pennsylvania woman charged with assault after driving through protesters,,20200610-0000
https://www.washingtonpost.com/national/george-floyd-funeral/2020/06/09/52774b02-aa70-11ea-a9d9-a81c1a491c52_story.html,"‘Fight for my brother’: As George Floyd is laid to rest, his family implores the nation to continue quest for justice",,20200610-0000
https://www.washingtonpost.com/politics/trump-draws-rebukes-for-suggesting-75-year-old-protester-pushed-to-the-ground-in-buffalo-was-part-of-a-set-up/2020/06/09/968ed40e-aa66-11ea-9063-e69bd6520940_story.html,Trump draws rebukes for suggesting 75-year-old protester pushed to the ground in Buffalo was part of a ‘set up’,,20200610-0000
https://www.washingtonpost.com/politics/2020/06/09/trump-sides-with-deranged-conspiracy-theories-over-black-lives-matter-protesters/,Analysis: Trump sides with conspiracy theories over Black Lives Matter protesters,,20200610-0000
https://www.washingtonpost.com/local/dc-politics/dc-council-police-reform/2020/06/09/c77ae6b0-aa49-11ea-a9d9-a81c1a491c52_story.html,"With police reform package, D.C. joins other states and Congress in closely examining law enforcement",,20200610-0000
https://www.washingtonpost.com/dc-md-va/2020/06/09/live-updates-dc-protests-george-floyd/,REGIONAL UPDATES,,20200610-0000
https://www.washingtonpost.com/lifestyle/2020/06/09/congresss-kente-cloth-spectacle-was-mess-contradictions/,Congress’s kente cloth spectacle was a mess of contradictions,,20200610-0000
https://www.washingtonpost.com/local/for-48-hours-the-nations-capital-was-gripped-by-chaos-then-everything-changed/2020/06/08/48bc53fe-a98b-11ea-868b-93d63cd833b2_story.html,"For 48 hours, the nation’s capital was gripped by chaos. Then everything changed.",,20200610-0000
https://www.washingtonpost.com/business/2020/06/09/how-effective-is-ppp-small-business/,"After rocky start, PPP investment shows signs of buttressing U.S. economy",,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/coronavirus-live-updates-us/,U.S. nears 2 million reported cases,,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/coronavirus-live-updates-us/#link-2PIRCWYZZVFT3MI4LRQMKQLEZM,Here’s where the Small Business Administration’s coronavirus disaster loans are going,,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/coronavirus-live-updates-us/#link-FDRCP5KJMNDEFBNB7WNYQQ54E4,"Reports of gender-based violence in Latin America have spiked since pandemic’s start, aid group says",,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/coronavirus-live-updates-us/#link-EIIEJDLEPVE4JFT5YC7EF36PXE,A furloughed child-care worker turns an act of kindness at a tire shop into many more,,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/coronavirus-live-updates-us/#link-ZLWSA3RIXFA25CL7SHQ6TXTM6M,Senate panel to hold hearing on isolation and loneliness among the elderly during pandemic,,20200610-0000
https://www.washingtonpost.com/nation/2020/06/09/coronavirus-live-updates-us/#link-2TWRCPKMPBEXFBCVAH7PISPTQU,"Women make up of only 24 percent of coronavirus response committees worldwide, study finds",,20200610-0000
https://www.washingtonpost.com/world/the_americas/coronavirus-coca-crash-bolivia-colombia-peru-latin-america/2020/06/09/8c7da42c-a11f-11ea-be06-af5514ee0385_story.html,The coronavirus has gutted the price of coca. It could reshape the cocaine trade.,,20200610-0000
https://www.washingtonpost.com/health/2020/06/09/asymptomatic-coronavirus-spread-who/,Are asymptomatic people spreading the coronavirus? A WHO official’s words spark confusion and debate.,,20200610-0000
https://www.washingtonpost.com/health/2020/03/13/if-you-feel-sick-are-worried-about-coronavirus-call-your-doctor-dont-rush-er/,Q&A: Can I go outside? Should I get an antibody test?,,20200610-0000
https://www.washingtonpost.com/nation/2020/04/30/do-you-live-state-that-has-reopened-or-is-planning-reopen-soon-washington-post-wants-hear-you/,We want to hear what it’s like in your reopened state,,20200610-0000
https://www.washingtonpost.com/coronavirus/living/,Read more,,20200610-0000
