,name,text,id,url,created_at
0,FortuneMagazine,Streaming fees could rise 5% as cities sue to impose a ‘Netflix tax’ https://t.co/XSgKO0txjs,1297358368630349826,https://fortune.com/2020/08/19/netflix-tax-streaming-fees/?xid=soc_socialflow_twitter_FORTUNE&utm_source=twitter.com&utm_campaign=fortunemagazine&utm_medium=social,Sun Aug 23 02:21:53 +0000 2020
0,FortuneMagazine,Google is not cooperating with user data requests from Hong Kong authorities https://t.co/7HjJVWxzUl,1297370019660271617,https://fortune.com/2020/08/14/google-user-data-hong-kong-requests-china/?utm_medium=social&utm_campaign=fortunemagazine&utm_source=twitter.com&xid=soc_socialflow_twitter_FORTUNE,Sun Aug 23 03:08:11 +0000 2020
0,FortuneMagazine,Reclaiming the house dress from the laundry heap of history. https://t.co/2ExLO6WwE8,1297381514943115264,https://fortune.com/2020/08/21/women-are-finally-reclaiming-the-house-dress/?xid=soc_socialflow_twitter_FORTUNE&utm_source=twitter.com&utm_campaign=fortunemagazine&utm_medium=social,Sun Aug 23 03:53:52 +0000 2020
0,FortuneMagazine,"The Turkish lira and stock market fell on the news, possibly reflecting disappointment over the size of the find. https://t.co/g0zgyezth4",1297392988939747333,https://fortune.com/2020/08/21/erdogan-hails-turkeys-biggest-ever-energy-discovery-the-markets-are-unimpressed/?xid=soc_socialflow_twitter_FORTUNE&utm_source=twitter.com&utm_campaign=fortunemagazine&utm_medium=social,Sun Aug 23 04:39:27 +0000 2020
0,FortuneMagazine,The comeback is uneven: online shopping continues to dominate while retail foot traffic at the shops only shows a slight improvement. https://t.co/xLoxjDt6Gq,1297404654612107265,https://fortune.com/2020/08/21/uk-retail-rebounds-unevenly/?utm_source=twitter.com&xid=soc_socialflow_twitter_FORTUNE&utm_campaign=fortunemagazine&utm_medium=social,Sun Aug 23 05:25:48 +0000 2020
0,FortuneMagazine,A Jack Ma company is poised to break the record for biggest IPO—again https://t.co/sbbUhJcIpV,1297416344183463936,https://fortune.com/2020/08/21/jack-ma-alibaba-ant-ipo-biggest-ever/?utm_source=twitter.com&xid=soc_socialflow_twitter_FORTUNE&utm_medium=social&utm_campaign=fortunemagazine,Sun Aug 23 06:12:15 +0000 2020
0,FortuneMagazine,What's the etiquette for something the country hasn't been through before? https://t.co/R34POkyg5b,1297427995796426752,https://fortune.com/2020/08/20/wedding-etiquette-gifts-invites-coronavirus-pandemic/?utm_campaign=fortunemagazine&utm_medium=social&xid=soc_socialflow_twitter_FORTUNE&utm_source=twitter.com,Sun Aug 23 06:58:33 +0000 2020
0,FortuneMagazine,"Commentary: How 'HBO'—no, not the TV network—could help doctors fight COVID-19 https://t.co/t3VLJIKk5Z",1297439658280878080,https://fortune.com/2020/08/11/covid-19-treatment-hbo-oxygen-therapy-coronavirus/?xid=soc_socialflow_twitter_FORTUNE&utm_medium=social&utm_source=twitter.com&utm_campaign=fortunemagazine,Sun Aug 23 07:44:54 +0000 2020
0,FortuneMagazine,"Black newborns are three times more likely to die when cared for by white doctors, according to a new study that grimly quantifies the toll of medicine's lack of diversity on Black patients. https://t.co/fRdiePRGMa",1297451141320540161,https://fortune.com/2020/08/20/black-doctors-mortality-rate-newborns/?xid=soc_socialflow_twitter_FORTUNE&utm_source=twitter.com&utm_campaign=fortunemagazine&utm_medium=social,Sun Aug 23 08:30:32 +0000 2020
0,FortuneMagazine,Airbnb on Wednesday confidentially filed paperwork for an initial public offering. https://t.co/6LAc84tcEP,1297486324396589056,https://fortune.com/2020/08/19/airbnb-ipo-challenges-intial-public-offering/?utm_campaign=fortunemagazine&utm_medium=social&utm_source=twitter.com&xid=soc_socialflow_twitter_FORTUNE,Sun Aug 23 10:50:20 +0000 2020
0,FortuneMagazine,The film festival will be the first in-person movie event since the coronavirus pandemic began. https://t.co/MTzZjkix00,1297498052111073281,https://fortune.com/2020/08/20/venice-film-festival-2020-face-masks-coronavirus-covid-19-pandemic/?utm_medium=social&utm_campaign=fortunemagazine&xid=soc_socialflow_twitter_FORTUNE&utm_source=twitter.com,Sun Aug 23 11:36:56 +0000 2020
0,FortuneMagazine,Commentary: Why female leaders are faring better than 'wartime presidents' against COVID-19 https://t.co/FIkFUgqwLP,1297521498178060289,https://fortune.com/2020/08/20/women-female-leaders-vs-wartime-president-trump-jacinda-ardern-angela-merkel-covid-19-coronavirus/?utm_campaign=fortunemagazine&utm_medium=social&xid=soc_socialflow_twitter_FORTUNE&utm_source=twitter.com,Sun Aug 23 13:10:06 +0000 2020
0,FortuneMagazine,"Politicians may see 5G as geopolitically pivotal, but that seems like hype. https://t.co/BTsmEeyTku",1297544941078491136,https://fortune.com/2020/08/20/5g-prize-unclear-apple-valuation-ceo-daily/?utm_source=twitter.com&xid=soc_socialflow_twitter_FORTUNE&utm_medium=social&utm_campaign=fortunemagazine,Sun Aug 23 14:43:15 +0000 2020
