,name,text,id,url,created_at
0,NewYorker,"The President’s infection will undoubtedly insure that his bungling of the pandemic—which continues to kill nearly a thousand Americans a day, and to sicken thousands more—remains the overriding story of the campaign.
https://t.co/CevDNzmtZU",1312182564723933184,-1,Sat Oct 03 00:07:57 +0000 2020
0,NewYorker,Ethan Hawke says he never looked back after “Before Sunrise.” “I could stop imitating other actors. I guess it’s about breaking the mask we wear for the world and letting as much truth seep out of the cracks as possible.” https://t.co/1Zz3GJukLL,1312193065168166912,-1,Sat Oct 03 00:49:40 +0000 2020
0,NewYorker,"A new 30-minute documentary profiles the Japanese botanical artist Azuma Makoto, a punk and a poet at heart, whose true subject is the fleeting nature of life. Watch here. https://t.co/r3ylQSxtk1",1312201534101282817,-1,Sat Oct 03 01:23:19 +0000 2020
0,NewYorker,"Conspiracy theories like QAnon blossom in trying times, but today they are supercharged by the tools of our hyperconnected communities. https://t.co/aZcaDNzBWC",1312206117330509824,-1,Sat Oct 03 01:41:32 +0000 2020
0,NewYorker,"The response of Donald Trump’s circle to his infection will reveal whether they are coming to grips with reality, or continuing to flee from it.
https://t.co/j3qDuYbRhJ",1312215930403864577,-1,Sat Oct 03 02:20:32 +0000 2020
0,NewYorker,"In this moment of exalting uprisings and reëmergent social movements, @KeeangaYamahtta writes, we cannot overlook the disturbing history of the Supreme Court and its regressive role in American society. https://t.co/EUl71gZYxk",1312227282501672966,-1,Sat Oct 03 03:05:38 +0000 2020
0,NewYorker,"Hervé Guibert's work is a singular contribution to the literature of illness, the testament of a writer bracingly committed to everything that, in Virginia Woolf’s words, “the cautious respectability of health conceals.” https://t.co/Dy5g40ztqN",1312238859418251267,-1,Sat Oct 03 03:51:38 +0000 2020
0,NewYorker,"Mariah Carey’s new memoir is an incisive, entertaining, and impressively well-written account of her road from poverty and obscurity to superstardom. https://t.co/s9fu4qyXGu",1312250514852249600,-1,Sat Oct 03 04:37:57 +0000 2020
0,NewYorker,"It is human nature to react to a moral decay by creating new institutions, the plague scholar Gianna Pomata says. Could COVID-19 create an opportunity for profound social change?  https://t.co/mqE0bxmple",1312262250959429632,-1,Sat Oct 03 05:24:35 +0000 2020
0,NewYorker,"Documents show that Deutsche bank used mirror trades to help major criminal organizations, terrorist groups, and drug cartels launder and transfer a geyser of dirty money. https://t.co/v72OkQ1KKl",1312273782925557760,-1,Sat Oct 03 06:10:25 +0000 2020
0,NewYorker,"There is disagreement about how accurate the PCR tests for the coronavirus are, but estimates suggest that the false-negative rate could range as high as 30 per cent. https://t.co/pggczuI4ek",1312285346546298880,-1,Sat Oct 03 06:56:22 +0000 2020
0,NewYorker,"The influenza epidemic, which left more than 675,000 Americans dead, may have contributed to the longing for normalcy that brought Warren G. Harding to the White House. https://t.co/417eHv0GNB",1312297062508236801,-1,Sat Oct 03 07:42:55 +0000 2020
0,NewYorker,"The newfound interest in Black stories is long overdue, but it will inevitably lead to escalating tensions between the companies profiting from those narratives and the families depicted in them. https://t.co/UCaf9qWlfr",1312308760262606849,-1,Sat Oct 03 08:29:24 +0000 2020
0,NewYorker,"The nonprofit gallery and studio Creative Growth has responded to the coronavirus pandemic in inventive, nimble, and enlivening ways. https://t.co/BJaSRSyYDg",1312331897259921408,-1,Sat Oct 03 10:01:20 +0000 2020
