source,newyorktimes,washingtonpost
L1_newyorktimes,0.5114601343763263,0.5251335399314879
L1_washingtonpost,0.0977361120349624,0.20893215970780876
L2_newyorktimes,0.4427893973570279,0.5677076443159291
L2_washingtonpost,-0.03399296212970521,0.0783358791499663
L3_newyorktimes,0.30714740443587785,0.6500222363669538
L3_washingtonpost,-0.002657302955851508,-0.02897364872851786
L4_newyorktimes,0.15045054750992345,0.5436721767037542
L4_washingtonpost,-0.021636175104045256,-0.12216298462207534
L5_newyorktimes,-0.0734865504378253,0.40516466189241773
L5_washingtonpost,-0.16490120093561253,-0.24744932619355492
L6_newyorktimes,-0.18931156875979277,-0.03332294377676952
L6_washingtonpost,-0.12899517229802454,-0.3050578810709559
L7_newyorktimes,-0.0494749570079423,-0.1340098071002523
L7_washingtonpost,-0.07018590967329615,-0.29200681460245165
L8_newyorktimes,0.10192237133412231,-0.059917030471951196
L8_washingtonpost,-0.0736098699060562,-0.29767624423709566
L9_newyorktimes,0.026187009766859105,-0.14428560520479342
L9_washingtonpost,-0.01081411389301452,-0.16366218292975088
L10_newyorktimes,-0.14441980100885754,-0.11945461664163713
L10_washingtonpost,-0.11177090923713351,-0.17085184673701487
L11_newyorktimes,-0.43085087100583574,-0.2811850666728088
L11_washingtonpost,-0.1152333316889331,-0.09468271542502742
L12_newyorktimes,-0.6298605458759952,-0.39291590165163165
L12_washingtonpost,-0.10146373082696479,-0.009108871220859733
