source,newyorktimes,washingtonpost
L1_newyorktimes,-0.2168865867530527,-0.002220698745632091
L1_washingtonpost,0.0035437289414756265,0.050289889212369994
L2_newyorktimes,-0.30727709223270394,0.21972107750813988
L2_washingtonpost,-0.40314872900442306,0.07502989797341594
L3_newyorktimes,-0.28185964592898455,0.36931112349746636
L3_washingtonpost,-0.4408692937979075,0.23946234325251972
L4_newyorktimes,-0.28425711888286703,0.45143803820617673
L4_washingtonpost,-0.3544018672910232,0.2681046378202887
L5_newyorktimes,-0.3077480275522467,0.4004452759770167
L5_washingtonpost,-0.46028008375864377,0.43213053053649886
L6_newyorktimes,-0.2893067148010107,0.2534856433208946
L6_washingtonpost,-0.49219777263414044,0.526118013007633
L7_newyorktimes,-0.16429163216913958,0.28330295666373484
L7_washingtonpost,-0.45062145838239476,0.5117223024639147
L8_newyorktimes,-0.144980242546999,0.47293582922618416
L8_washingtonpost,-0.261194060121677,0.38698637403448294
L9_newyorktimes,-0.05584674418036743,0.3584988855573386
L9_washingtonpost,-0.21987619935042368,0.2990138252348977
L10_newyorktimes,-0.21482657209592582,0.22123840052664143
L10_washingtonpost,-0.3606043789841156,0.35630696480700513
L11_newyorktimes,-0.33493111111525165,0.06081389513810655
L11_washingtonpost,-0.5141874968705262,0.4904481150328338
L12_newyorktimes,-0.05260655975915318,-0.29535887067224953
L12_washingtonpost,-0.4861424763595736,0.6127942385871858
