source,abcnews,breitbart,cnn,dailycaller,foxnews,newyorktimes,washingtonpost
L1_abcnews,0.29840578727373146,-0.003711917836711782,0.03672199632502484,0.1395939448194095,0.14992660800594235,0.05257596130573112,0.1790490153726508
L1_breitbart,-0.008115792524898845,0.27417017535419963,0.01602871621313722,0.1341022020513595,0.046078119802095655,0.030135613275393155,0.08860532032885028
L1_cnn,0.03298156115479395,0.0640181828502547,0.41148240269496755,0.11058253797423283,0.007388837503556804,0.050788547074088364,0.14451796538292813
L1_dailycaller,0.07807613726365681,0.04489523264583488,0.04824441040058502,0.2693437245847023,0.1300288483054919,0.08891786022544267,0.1201734503181356
L1_foxnews,0.08811614199748422,0.08038364376982539,0.04807047843146098,0.23574317610768297,0.4930527414639585,0.12519139514123576,0.31812703399117115
L1_newyorktimes,0.07702275216467394,0.05336671462630162,0.03835804390150575,0.10871473289923364,0.1545880958449594,0.3391989750338804,0.13098839458586406
L1_washingtonpost,0.15942176353837417,0.04818928779246398,0.11780434847580433,0.17564653506376027,0.2715661268587193,0.09313945850525988,0.49182774506451693
L2_abcnews,0.3807324134412612,-0.004096813745045414,0.051721514322937916,0.20640109831399076,0.13155249189653925,0.06433097409059707,0.20131745808776488
L2_breitbart,0.0028270457612282066,0.3420642881787395,0.018007037270182116,0.16538195340367934,0.03963012304120049,0.06837097002836162,0.0781388568398878
L2_cnn,0.040565806006989995,0.055051094074367604,0.4474220102954822,0.10101819389413674,0.038059904042857556,0.04902707612153472,0.13354653442101888
L2_dailycaller,0.09103640161254871,0.07153970248100891,0.07590739861229882,0.33693620141448216,0.19405261392216425,0.11502817898992633,0.1719810190036349
L2_foxnews,0.16921182555557002,0.11838696966623315,0.0636381101077154,0.30080919631831515,0.5688012511375464,0.17965632414899574,0.38372284689065905
L2_newyorktimes,0.05334388285022724,0.07434717989020317,0.04082122258781968,0.1355245286340145,0.19614358581637834,0.40821230623069793,0.17097634621948454
L2_washingtonpost,0.21153348621290027,0.09301834621545235,0.09484405784163648,0.22420899844597003,0.3674175398889469,0.1294405367617311,0.5788219591187141
L3_abcnews,0.4195868152221819,0.011117649220066625,0.07340898818876286,0.21402686366956195,0.12420603873566168,0.11032850819602688,0.2513266741337756
L3_breitbart,-0.013265567836315694,0.4043256279612582,0.009524239688099337,0.17498397844644914,0.0492164315825813,0.07755331935181498,0.08012664310872748
