source,newyorktimes,washingtonpost
L1_newyorktimes,-0.16799067636734952,-0.17034884413064635
L1_washingtonpost,0.2942182921984493,0.06497004588697561
L2_newyorktimes,-0.1923712046712562,-0.02595803490085737
L2_washingtonpost,0.06337820011719673,0.25422950540665556
L3_newyorktimes,-0.06636033927175851,0.35907861389949997
L3_washingtonpost,0.03729526239327808,-0.10288017093826149
L4_newyorktimes,-0.09823076805286378,0.4832599624390078
L4_washingtonpost,0.15480337578760647,-0.014958058216523474
L5_newyorktimes,-0.23679120646511806,0.07442178973112981
L5_washingtonpost,0.31653980857611963,0.0945718011252701
L6_newyorktimes,-0.2446439413902656,-0.04581310526783148
L6_washingtonpost,0.2745548760332616,0.11485809642736615
L7_newyorktimes,-0.3219669203008572,0.0005936871788745612
L7_washingtonpost,-0.22888078352052402,0.00906804288643483
L8_newyorktimes,-0.30510970269049487,-0.1484157602967653
L8_washingtonpost,-0.5608042654642758,-0.12027450090242589
L9_newyorktimes,-0.3559702754692511,-0.15402858611892098
L9_washingtonpost,-0.41769792039431064,-0.015056403618120526
L10_newyorktimes,-0.48242876862717077,-0.16521178810414217
L10_washingtonpost,-0.06979425472728108,-0.011314661043728724
L11_newyorktimes,-0.4775181878969362,-0.03336717912019699
L11_washingtonpost,0.1088449247813645,-0.057833789004030765
L12_newyorktimes,-0.44290687590722755,0.005754045945844809
L12_washingtonpost,0.17564691931074802,-0.021443261357008338
