source,newyorktimes,washingtonpost
L1_newyorktimes,0.5259781295930451,0.5422188158699318
L1_washingtonpost,0.10109782642009768,0.20885108047703807
L2_newyorktimes,0.4617480330863837,0.5862357753827816
L2_washingtonpost,0.014662248293668757,0.13794721369820198
L3_newyorktimes,0.3336793872419424,0.6675416448642457
L3_washingtonpost,0.03279409159251641,0.021181857788428224
L4_newyorktimes,0.18296747621125897,0.5669168726630689
L4_washingtonpost,0.017855126862652206,-0.06228580629677437
L5_newyorktimes,-0.0337232945797112,0.43472147169994513
L5_washingtonpost,-0.11439378054774692,-0.1731382106200432
L6_newyorktimes,-0.1488550503426105,0.01516241930641359
L6_washingtonpost,-0.07502019532268207,-0.2196448478916371
L7_newyorktimes,-0.008938610375980299,-0.07353801028558982
L7_washingtonpost,-0.029657894959721237,-0.2241883897719833
L8_newyorktimes,0.1477732406133106,0.01525847077718449
L8_washingtonpost,-0.02980922241496662,-0.22460130768608358
L9_newyorktimes,0.08128492997228587,-0.05469781389055966
L9_washingtonpost,-0.038993575143209024,-0.19551355587598532
L10_newyorktimes,-0.06574233781399838,-0.015879728617679056
L10_washingtonpost,-0.11232813062217688,-0.16856423863254644
L11_newyorktimes,-0.32499688052503883,-0.15814016009198295
L11_washingtonpost,-0.12043857872936571,-0.10150352472741611
L12_newyorktimes,-0.5744354416686733,-0.3265216288934624
L12_washingtonpost,-0.15871721350241047,-0.09814507818919743
